EJERCICIO,NRO_REG_COMP,FECH_REG_COMP,LUG_EMI,JURISDICCION,CODIGO_UE,COD_PROV,TIPO_REGIS,NRO_ORIG,CODIGO_FF,UNI_COMPRA,NRO_OC,DELEG_SOLIC,NRO_SOLIC,TIPO_DOC,NRO_DOC,ANIO_DOC,IMPORTE_TOT,ESTADO_REG_COMP,CONFIRMADO,FECH_CONFIRM,FECH_ANUL,MOTIVO_ANUL,CANT_IMPRES,CONCEPTO,FECH_RELOJ,DEUDA,DEPENDENCIA,INSISTIDO,RC_DIFERIDO,EJERCICIO_ANT,NRO_REG_COMP_ANT,RC_EJERCICIO_ANT
2026,1552,2026-02-27 00:00:00,GMADA,1110104000,5,50008,R,1552,110,,,,,,,,817194.26,D,S,2026-02-27 00:00:00,,,1,Generado Automáticamente - Periodo 2/2026 - Tipo/Grupo 9/1,2026-02-27 00:00:00,N,BROM,,,,,
2026,1553,2026-02-27 00:00:00,GMADA,1110104000,5,50008,R,1553,110,,,,,,,,785714.07,D,S,2026-02-27 00:00:00,,,1,Generado Automáticamente - Periodo 2/2026 - Tipo/Grupo 9/1,2026-02-27 00:00:00,N,OSA,,,,,
2026,1554,2026-02-27 00:00:00,GMADA,1110104000,5,50051,R,1554,110,,,,,,,,69382417.66,D,S,2026-02-27 00:00:00,,,1,Generado Automáticamente - Periodo 2/2026 - Tipo/Grupo 9/1,2026-02-27 00:00:00,N,HOSP,,,,,
2026,1555,2026-02-27 00:00:00,GMADA,1110104000,5,50051,R,1555,110,,,,,,,,303534.15,D,S,2026-02-27 00:00:00,,,1,Generado Automáticamente - Periodo 2/2026 - Tipo/Grupo 9/1,2026-02-27 00:00:00,N,CAP,,,,,
2026,1556,2026-02-27 00:00:00,GMADA,1110104000,5,50051,R,1556,110,,,,,,,,67420.93,D,S,2026-02-27 00:00:00,,,1,Generado Automáticamente - Periodo 2/2026 - Tipo/Grupo 9/1,2026-02-27 00:00:00,N,OSA,,,,,
2026,1557,2026-02-27 00:00:00,GMADA,1110104000,5,50051,R,1557,110,,,,,,,,79006.89,D,S,2026-02-27 00:00:00,,,1,Generado Automáticamente - Periodo 2/2026 - Tipo/Grupo 9/1,2026-02-27 00:00:00,N,BROM,,,,,
2026,1558,2026-02-27 00:00:00,GMADA,1110104000,5,50052,R,1558,110,,,,,,,,28248390.98,D,S,2026-02-27 00:00:00,,,1,Generado Automáticamente - Periodo 2/2026 - Tipo/Grupo 9/1,2026-02-27 00:00:00,N,HOSP,,,,,
2026,1559,2026-02-27 00:00:00,GMADA,1110104000,5,50052,R,1559,110,,,,,,,,26968.37,D,S,2026-02-27 00:00:00,,,1,Generado Automáticamente - Periodo 2/2026 - Tipo/Grupo 9/1,2026-02-27 00:00:00,N,OSA,,,,,
2026,1560,2026-02-27 00:00:00,GMADA,1110104000,5,50052,R,1560,110,,,,,,,,31602.75,D,S,2026-02-27 00:00:00,,,1,Generado Automáticamente - Periodo 2/2026 - Tipo/Grupo 9/1,2026-02-27 00:00:00,N,BROM,,,,,
2026,1561,2026-02-27 00:00:00,GMADA,1110104000,5,50052,R,1561,110,,,,,,,,121413.66,D,S,2026-02-27 00:00:00,,,1,Generado Automáticamente - Periodo 2/2026 - Tipo/Grupo 9/1,2026-02-27 00:00:00,N,CAP,,,,,
