EJERCICIO,NRO_CANCE,COD_RET,IMPORTE,CUENTA
2026,935,3,44580.0,111210129
2026,1179,3,660.0,111221500
2026,2112,3,3868.14,111221500
2026,279,3,41090.0,111210129
2026,281,3,26669.92,111210129
2026,282,3,23362.67,111221500
2026,305,3,56731.44,111220900
2026,576,3,49504.13,111210129
2026,1465,3,2719.84,111210127
2026,1528,3,16127.47,111210131
2026,1003,3,274.21,111210129
2026,1822,3,1641914.47,111210131
2026,2625,3,5454.34,111210129
2026,2638,3,262099.17,111220400
2026,457,3,29007.4,111210129
2026,459,3,1502.31,111210129
2026,460,3,34414.88,111210129
2026,461,3,8540.0,111210129
2026,463,3,313919.15,111220400
2026,1239,3,1600.0,111210129
2026,1242,3,277.02,111221700
2026,1263,3,109771.57,111221500
2026,1267,3,297.35,111220100
2026,1268,3,20794.45,111221500
2026,1274,3,102793.39,111220400
2026,1276,3,16188.14,111210129
2026,1444,3,65299.17,111210131
2026,1446,3,174079.88,111210131
2026,1447,3,107567.67,111210131
2026,1448,3,23385.41,111210131
2026,1531,3,35519.83,111221700
2026,1980,3,5038.02,111210129
2026,1981,3,34363.64,111220900
2026,2645,3,19378.68,111210129
2026,951,3,498.38,111210129
2026,1455,3,102229.7,111210131
2026,231,3,76043.8,111220900
2026,690,3,194901.08,111210132
2026,916,3,78698.85,111220900
2026,537,3,276067.44,111210131
2026,2277,3,13623.18,111210132
2026,2309,3,38174.0,111210131
2026,255,3,922.77,111210129
2026,271,3,35286.0,111221700
2026,272,3,10869.2,111210129
2026,696,3,23860.22,111210129
2026,711,3,6507626.85,111210129
2026,135,3,115472.24,111210131
2026,136,3,133475.64,111210131
2026,1107,3,297140.11,111221700
2026,1321,3,865562.04,111210131
2026,1322,3,68882.59,111210131
2026,1323,3,9768.84,111210131
2026,2158,3,4184.41,111221700
2026,2437,3,223299.91,111210131
2026,2448,3,72709.09,111210131
2026,2405,3,12184433.94,111210129
2026,702,3,59834.71,111210128
2026,703,3,3600.0,111210128
2026,704,3,18473.62,111210128
2026,1812,3,101947.21,111222000
2026,1815,3,7528.93,111210129
2026,2242,3,650931.13,111220300
2026,2669,3,7953.22,111210132
2026,280,3,133897.93,111210131
2026,622,3,10517.5,111210129
2026,623,3,7833.69,111210129
2026,628,3,5986.77,111210129
2026,629,3,1213.39,111221700
2026,632,3,6600.0,111220900
2026,633,3,300.0,111220900
2026,1736,3,13224.21,111210129
2026,1738,3,23374.1,111210129
2026,1791,3,38760.33,111221500
2026,2359,3,9120.41,111210131
2026,309,3,23356.67,111221500
2026,312,3,923.65,111210129
2026,314,3,5520.78,111210129
2026,558,3,6440.0,111210129
2026,561,3,271860.0,111220900
2026,569,3,60232.77,111220400
2026,2400,3,58419.84,111220400
2026,301,3,83122.15,111210129
2026,303,3,23808.33,111210129
2026,393,3,677.36,111210129
2026,468,3,1520.66,111210129
2026,522,3,30418.65,111210129
2026,808,3,110882.32,111210127
2026,812,3,9639.93,111210129
2026,906,3,77700.79,111220400
2026,2227,3,155401.41,111210132
2026,2232,3,53656.36,111221500
2026,2234,3,11236.8,111210131
2026,834,3,42400.0,111210128
2026,963,3,23305.78,111210131
2026,163,3,800.0,111221500
2026,165,3,93200.0,111221500
2026,166,3,93200.0,111221500
2026,493,3,13182.98,111210129
2026,1986,3,11089.05,111220900
2026,2323,3,2297.52,111221500
2026,2329,3,2746.36,111221500
2026,2720,3,47413.69,111210131
2026,23,3,2320.0,111221500
2026,74,3,166818.48,111210131
2026,760,3,519.2,111210132
2026,761,3,22451.53,111210132
2026,762,3,18625.29,111210132
2026,76,3,32800.4,111210131
2026,73,3,619306.55,111210131
2026,75,3,53550.8,111210131
2026,1332,3,8767.23,111221500
2026,1337,3,18205.58,111221500
2026,1357,3,8966.0,111221500
2026,1365,3,18910.51,111221500
2026,160,3,22339.99,111210129
2026,162,3,27223.99,111210129
2026,1434,3,674.38,111221700
2026,1437,3,387.0,111210129
2026,1442,3,70778.2,111221500
2026,1443,3,9399.68,111221500
2026,683,3,37497.61,111210129
2026,362,3,114740.0,111210131
2026,358,3,39586.78,111210131
2026,360,3,95200.0,111210131
2026,373,3,114740.0,111210131
2026,1388,3,21606.76,111210129
2026,1391,3,44082.6,111221500
2026,1395,3,268760.33,111220900
2026,1396,3,20087.6,111220900
2026,1398,3,1702.8,111220900
2026,1403,3,558429.75,111210127
2026,1902,3,324419.83,111210131
2026,1905,3,12286.32,111210131
2026,2676,3,132619.08,111210129
2026,2677,3,26859.5,111210129
2026,817,3,1160.0,111210129
2026,820,3,2693.02,111210129
2026,822,3,16069.7,111221500
2026,824,3,22419.34,111221500
2026,1979,3,86711.58,111210131
2026,1983,3,443238.92,111210131
2026,2034,3,234462.81,111210131
2026,2561,3,25577.09,111210129
2026,2579,3,18258.16,111221500
2026,194,3,4486.02,111210129
2026,1503,3,84000.0,111210129
2026,2424,3,13305.78,111210129
2026,2164,3,9407.4,111221500
2026,2174,3,10721.23,111210129
2026,2179,3,2924.01,111210129
2026,1592,3,98645.12,111210131
2026,1636,3,14452.89,111210129
2026,1587,3,103928.92,111210131
2026,2375,3,20468.1,111221500
2026,2393,3,87629.75,111220900
2026,259,3,27424.0,111221500
2026,262,3,27797.87,111221500
2026,264,3,28439.0,111210129
2026,269,3,21336.0,111210129
2026,270,3,15945.0,111221500
2026,1892,3,1492.56,111210129
2026,1083,3,17683.39,111210131
2026,498,3,50855.41,111210129
2026,499,3,22254.61,111210129
2026,503,3,7190.0,111210129
2026,504,3,1977.7,111210129
2026,506,3,459.2,111220900
2026,507,3,1069.91,111221500
2026,508,3,2676.0,111221500
2026,919,3,185258.84,111210131
2026,2168,3,36743.98,111210131
2026,2175,3,37082.97,111210131
2026,404,3,35600.0,111210129
2026,782,3,3589.78,111210131
2026,783,3,21602.88,111210131
2026,1646,3,169388.43,111220900
2026,1887,3,10708186.62,111210129
2026,336,3,16194.04,111210131
2026,337,3,39586.78,111210131
2026,751,3,50168.0,111220900
2026,1011,3,119769.69,111210131
2026,1381,3,128969.62,111210131
2026,1510,3,30000.0,111210129
2026,1933,3,169774.09,111210131
2026,1461,3,10563782.7,111210129
2026,283,3,4330.0,111210129
2026,291,3,3701.2,111210129
2026,296,3,9840.0,111210129
2026,299,3,2820.0,111210129
2026,300,3,6300.0,111220100
2026,361,3,10279194.8,111210129
2026,483,3,51296.0,111210129
2026,484,3,2510.82,111210129
2026,1262,3,78515.54,111210132
