EJERCICIO,NRO_OP,NRO_REG_COMP,TIPO_COMPROB,NRO_COMPROB,COD_PROV,CODIGO_FF,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,IMPORTE_IMPUT
2026,195,425,LIQ,0040-00013245,50052,110,1,2,5,2,1110109000,28,0,0,6497.28
2026,196,426,LIQ,9139-94353528,50008,110,1,3,1,0,1110112000,1,0,0,2946520.0
2026,197,427,LIQ,4000-00013252,50051,110,1,1,6,1,1110112000,1,0,0,353582.4
2026,198,428,LIQ,0040-00013246,50052,110,1,1,6,2,1110112000,1,0,0,141432.96
2026,199,429,LIQ,9139-94353529,50008,110,1,3,1,0,1110113000,42,0,0,361000.0
2026,200,430,LIQ,4000-00013253,50051,110,1,1,6,1,1110113000,42,0,0,43320.0
2026,201,431,LIQ,0040-00013247,50052,110,1,1,6,2,1110113000,42,0,0,17328.0
2026,202,432,LIQ,9139-94353530,50008,110,1,1,7,0,1110117000,34,0,0,20614.72
2026,202,432,LIQ,9139-94353530,50008,110,1,2,1,0,1110117000,34,0,0,267991.37
2026,202,432,LIQ,9139-94353530,50008,110,1,2,3,0,1110117000,36,0,0,143386.52
2026,202,432,LIQ,9139-94353530,50008,110,1,3,1,0,1110117000,36,0,0,320720.0
2026,202,432,LIQ,9139-94353530,50008,110,1,6,0,0,1110117000,36,0,0,94820.3
2026,203,433,LIQ,4000-00013254,50051,110,1,1,6,1,1110117000,36,0,0,38486.4
2026,203,433,LIQ,4000-00013254,50051,110,1,2,5,1,1110117000,34,0,0,32158.96
2026,203,433,LIQ,4000-00013254,50051,110,1,2,5,1,1110117000,36,0,0,17206.38
2026,204,434,LIQ,0040-00013248,50052,110,1,1,6,2,1110117000,36,0,0,15394.56
2026,204,434,LIQ,0040-00013248,50052,110,1,2,5,2,1110117000,34,0,0,12863.59
2026,204,434,LIQ,0040-00013248,50052,110,1,2,5,2,1110117000,36,0,0,6882.55
2026,205,435,LIQ,9139-94353531,50008,110,1,3,1,0,1110118000,46,0,0,451440.0
2026,206,436,LIQ,4000-00013255,50051,110,1,2,5,1,1110118000,46,0,0,54172.8
2026,207,437,LIQ,0040-00013249,50052,110,1,2,5,2,1110118000,46,0,0,21669.12
2026,208,55,FAB,0003-00004329,875,110,3,5,3,0,1110112000,1,0,0,80000.0
2026,209,445,FAB,0101-08724013,50922,132,3,1,1,0,1110102000,33,0,0,69439.24
2026,210,444,FAB,3108-03016555,50002,110,3,1,4,0,1110102000,1,0,0,27554.12
2026,210,444,FAB,3108-03026263,50002,110,3,1,4,0,1110102000,1,0,0,28720.09
2026,210,444,FAB,3108-03035595,50002,110,3,1,4,0,1110102000,1,0,0,600436.8
2026,210,444,FAB,3108-03035652,50002,110,3,1,4,0,1110102000,1,0,0,27554.12
2026,210,444,FAB,3108-03035653,50002,110,3,1,4,0,1110102000,1,0,0,27554.12
2026,210,444,FAB,3108-03035654,50002,110,3,1,4,0,1110102000,1,0,0,27554.12
2026,210,444,FAB,3108-03035655,50002,110,3,1,4,0,1110102000,1,0,0,41528.37
2026,210,444,FAB,3108-03035656,50002,110,3,1,4,0,1110102000,1,0,0,35012.99
2026,211,447,FAB,8173-96979395,50031,110,5,1,4,0,1110106000,24,0,0,16000.0
2026,212,448,FAB,2022-00001352,50003,110,3,7,2,0,1110104000,16,0,0,477900.0
2026,213,450,FAB,2512-16451429,50002,110,3,1,4,0,1110102000,1,0,0,55013.47
2026,214,449,FAB,0004-68183302,50023,110,3,1,3,0,1110105000,50,0,0,21959.5
2026,214,449,FAB,0004-68183317,50023,110,3,1,3,0,1110105000,50,0,0,21959.58
2026,214,449,FAB,7004-68183301,50023,110,3,1,3,0,1110105000,50,0,0,22142.93
2026,214,449,FAB,7004-68183312,50023,110,3,1,3,0,1110105000,50,0,0,22393.3
