EJERCICIO,UNI_COMPRA,NRO_OC,ITEM_OC,DELEG_SOLIC,NRO_SOLIC,ITEM_REAL,DESCRIPCION,CANTIDAD,IMP_UNITARIO,CANT_RECIB,IMPORTE_EJER
2004,1,1273,19,1,1384,19,CINTA PARA MAQUINA DE ESCRIBIR Y SUMAR - CINTA PARA MAQUINA DE ESCRIBIR Y SUMAR (GENERICO),2.0,5.4,2.0,10.8
2004,1,1273,20,1,1384,20,PAPEL AFICHE - PAPEL AFICHE (GENERICO),6.0,0.78,6.0,4.68
2004,1,1383,4,1,1497,4,FOTOCOPIAS - DUPLICADOS FOTOCOPIAS SIMPLES,2576.0,0.1,2576.0,257.6
2004,1,1383,5,1,1497,5,ANILLADO - ANILLADO (GENERICO),1.0,2.5,1.0,2.5
2004,1,1383,6,1,1497,6,APRIETA PAPEL - APRIETA PAPEL (GENERICO),4.0,0.8,4.0,3.2
2004,1,1383,7,1,1497,7,CARPETA - MATERIAL CARTON - COLOR VARIOS - TAMAÑO 22 X 34 - TIPO OFICIO - PRESENTACION UNIDAD - SUJECION  A 2 GANCHOS - MEMBRETE SIN - LENGUETA SIN,22.0,0.8,22.0,17.6
2004,1,1383,8,1,1497,8,TINTA P/SELLO - TIPO SELLO A BOLILLA - ENVASE FRASCO X 70 CM3 - COLOR NEGRLO,4.0,4.0,4.0,16.0
2004,1,1383,9,1,1497,9,PAPEL P/FAX - PRESENTACION ROLLO - ANCHO 21.6Cm - LONGITUD ROLLO 15m.,4.0,5.25,4.0,21.0
2004,1,1383,10,1,1497,10,ALMOHADILLA P/SELLOS - MEDIDA 15 X 7 Cm. Nº 3 - MATERIAL metalica,1.0,6.5,1.0,6.5
2004,1,1383,11,1,1497,11,BROCHES DORADOS - Nº PATAS DOS - Nº 6 - PRESENTACION CAJA X 100 UNIDADES,3.0,2.25,3.0,6.75
2004,1,1383,12,1,1497,12,BROCHES DORADOS - Nº PATAS 2 - Nº 1 - PRESENTACION CAJA X 100 UNIDADES.,1.0,7.35,1.0,7.35
2004,1,1383,13,1,1497,13,BROCHE P/ ABROCHADORA - Nº 50 - PRESENTACION CAJA X 1000 UNIDADES.,3.0,1.0,3.0,3.0
2004,1,1383,14,1,1497,14,BROCHE P/ ABROCHADORA - NUMERO 21/6 - PRESENTACION CAJA X 5000 UNIDADES.,2.0,5.4,2.0,10.8
2004,1,1383,15,1,1497,15,CARPETA - MATERIAL PLASTICO - COLOR NEGRO - TAMAÑO OFICIO - TIPO TAPA TRANSPARENTE - SUJECION CLIP.,1.0,9.0,1.0,9.0
2004,1,1384,1,1,1514,1,"REPARACION DE MOTONIVELADORA - REPARACION DE MOTONIVELADORA DESARMAR LIMPIAR Y CALIBRAR BOMBA,INYECTORES RECTIFICAR BASE CUERPO INYECTORES,CARGADORA -RETRO MANCINI.DESARMAR DISTRIBUCION SACAR COLOCAR PUESTA A PUNTO DE MOTOR Y BOMBA INYECTORA DE MOTONIVELADORA RO 517.",1.0,3562.0,1.0,3562.0
2004,1,1385,1,1,1515,1,CARTUCHO P/IMPRESORA XEROX 3130 ORIG. - CARTUCHO P/IMPRESORA XEROX 3120 REC.,1.0,180.0,0.0,180.0
2004,1,1386,1,1,1518,1,ATAUD CATEGORIA BAULITO - ATAUD CATEGORIA BAULITO (GENERICO),1.0,300.0,1.0,300.0
2004,1,1387,1,1,1511,1,CUBIERTA P/AUTOMOTOR - CUBIERTA P/AUTOMOTOR (GENERICO) 215 x 75 x 15.-,2.0,285.0,2.0,570.0
2004,1,1388,1,1,1517,1,TRASLADO DE PERSONAS EN MICRO - TRASLADO DE PERSONAS EN MICRO (Genérico),1.0,460.0,1.0,460.0
2004,1,1389,1,1,1516,1,CINTAS DE PINTOR - CINTAS DE PINTOR 48 x 50,10.0,5.7,10.0,57.0
2004,1,1389,2,1,1516,2,DILUYENTE P/RECUBRIMIENTO - 4 LITROS DILUYENTE Nº 25,1.0,30.74,1.0,30.74
2004,1,1389,3,1,1516,3,PINTURA -  4 LITROS ESMALTE P/ PISOS BLANCO,1.0,40.87,1.0,40.87
2004,1,1390,1,1,1513,1,REPARACION VEHICULO - TAREA REPARACION DE NEUMATICO.,1.0,284.0,1.0,284.0
