EJERCICIO,NRO_OP,FECH_OP,LUG_EMI,CODIGO_FF,JURISDICCION,CODIGO_UE,COD_PROV,TIPO_OP,ESTADO_OP,TIPO_DOC,NRO_DOC,ANIO_DOC,NRO_CANCE,CONFIRMADO,FECH_CONFIRM,IMPORTE_TOTAL,IMPORTE_LIQUIDO,CANT_IMPRES,FECH_ANUL,MOTIVO_ANUL,CONCEPTO,OBSERVACIONES,COD_EMP,IMPORTE_BONIFICACION,IMPORTE_DEDUCCIONES,ASIENTO,ASIENTO_ANUL,MONTO_SIN_IVA,DEUDA,BLOQUEADA,RECURSO,PERCIBIDO,NO_PAGADO,PAGADO,RECO_DEU_ORDEN,RECO_DEU_EJERCICIO,RECO_DEU_COMPRA,RECO_DEU_COMPRA_EJER,F931,SICORE
2004,2171,2004-05-04 00:00:00,GMADA,110,1110105000,6,193,P,C,ORDSE,304,2004,2267,S,2004-05-04 00:00:00,10.73,10.73,1,,,Gasto de luz mes de Marzo,,,0.0,0.0,,,10.73,N,N,,,,,,,,,,S
2004,2172,2004-05-04 00:00:00,GMADA,110,1110106000,7,181,P,C,,,,1408,S,2004-05-04 00:00:00,1620.0,1603.8,1,,,PASAJES,,,0.0,16.2,,,1338.84,N,N,,,,,,,,,,S
2004,2173,2004-05-04 00:00:00,GMADA,110,1110101000,1,11,P,C,ORDCO,557,2004,1437,S,2004-05-04 00:00:00,160.0,160.0,1,,,BUJIA PARA AUTOM.,,,0.0,0.0,,,160.0,N,N,,,,,,,,,,S
2004,2174,2004-05-04 00:00:00,GMADA,110,1110103000,3,75,P,C,,,,1412,S,2004-05-04 00:00:00,500.0,488.0,1,,,ARENA,,,0.0,12.0,,,413.22,N,N,,,,,,,,,,S
2004,2175,2004-05-04 00:00:00,GMADA,110,1110105000,6,50020,P,C,NOTA,48,2004,1407,S,2004-05-04 00:00:00,189.8,189.8,1,,,CAJA CHICA CULTURA,,,0.0,0.0,,,186.32,N,N,,,,,,,,,,S
2004,2176,2004-05-04 00:00:00,GMADA,110,1110101000,1,13,P,C,,,,1434,S,2004-05-04 00:00:00,110.0,110.0,1,,,HORQUILLA,,,0.0,0.0,,,110.0,N,N,,,,,,,,,,S
2004,2177,2004-05-04 00:00:00,GMADA,110,1110103000,3,193,P,C,ORDSE,304,2004,2267,S,2004-05-04 00:00:00,35009.71,35009.71,1,,,Gasto alumbrado Publico mes de Marzo,,,0.0,0.0,,,35009.71,N,N,,,,,,,,,,S
2004,2178,2004-05-04 00:00:00,GMADA,110,1110106000,7,18,P,C,ORDCO,656,2004,1430,S,2004-05-04 00:00:00,147.0,147.0,1,,,GAS,,,0.0,0.0,,,121.48,N,N,,,,,,,,,,S
2004,2179,2004-05-04 00:00:00,GMADA,132,1110106000,7,193,P,C,ORDSE,304,2004,2267,S,2004-05-04 00:00:00,10.74,10.74,2,,,Gasto luz mes de Marzo,,,0.0,0.0,,,10.74,N,N,,,,,,,,,,S
2004,2180,2004-05-04 00:00:00,GMADA,110,1110101000,1,117,P,C,,,,1438,S,2004-05-04 00:00:00,225.0,225.0,1,,,LIBRERIA,,,0.0,0.0,,,185.95,N,N,,,,,,,,,,S
2004,2181,2004-05-04 00:00:00,GMADA,110,1110106000,7,151,P,C,,,,1433,S,2004-05-04 00:00:00,235.0,232.65,1,,,REP. PATRULLERO,,,0.0,2.35,,,194.21,N,N,,,,,,,,,,S
2004,2182,2004-05-04 00:00:00,GMADA,110,1110104000,5,289,P,C,ORDCO,584,2004,1431,S,2004-05-04 00:00:00,1480.0,1444.48,1,,,Aerocamaras,,,0.0,35.52,,,1480.0,N,N,,,,,,,,,,S
2004,2183,2004-05-04 00:00:00,GMADA,110,1110104000,5,25,P,C,,,,1428,S,2004-05-04 00:00:00,1326.0,1294.18,1,,,OXIGENO,,,0.0,31.82,,,1326.0,N,N,,,,,,,,,,S
2004,2184,2004-05-04 00:00:00,GMADA,110,1110103000,3,50017,P,C,NOTA,8,2004,1414,S,2004-05-04 00:00:00,268.09,268.09,1,,,CAJA CHICA OBRAS PUBLICAS,,,0.0,0.0,,,259.13,N,N,,,,,,,,,,S
2004,2185,2004-05-04 00:00:00,GMADA,110,1110101000,1,50008,P,C,LIQSU,1027,2004,1413,S,2004-05-04 00:00:00,392.68,392.68,1,,,HORAS EXTRAS CLAUDIO ABECASSIS,,,0.0,0.0,,,392.68,N,N,,,,,,,,,,S
2004,2186,2004-05-04 00:00:00,GMADA,131,1110111000,3,163,P,C,ORDCO,169,2004,1410,S,2004-05-04 00:00:00,7053.09,6883.82,1,,,REP. MOTONIVELADORA,,,0.0,169.27,,,5829.0,N,N,,,,,,,,,,S
