EJERCICIO,NRO_CANCE,COD_RET,IMPORTE,CUENTA
2009,6372,19,194.48,111210125
2009,6372,20,1526.33,111210125
2009,6372,23,3078.53,111210125
2009,6372,24,6308.25,111210125
2009,6374,6,79.1,111210125
2009,6397,3,37.0,111210125
2009,6397,6,191.8,111210125
2009,6399,1,226.59,111210125
2009,6399,2,77.69,111210125
2009,6400,1,1809.85,111210125
2009,6400,2,620.52,111210125
2009,6400,5,860.45,111210125
2009,6400,9,82.3,111210125
2009,6400,10,94.83,111210125
2009,6400,12,20.0,111210125
2009,6400,14,30.54,111210125
2009,6400,16,11.54,111210125
2009,6400,18,139.38,111210125
2009,6400,24,34.61,111210125
2009,6401,1,1569.16,111210125
2009,6401,2,538.0,111210125
2009,6401,10,134.82,111210125
2009,6401,12,10.0,111210125
2009,6402,1,5181.35,111210125
2009,6402,2,1776.48,111210125
2009,6402,5,754.52,111210125
2009,6402,14,35.84,111210125
2009,6402,18,269.43,111210125
2009,6403,1,1136.36,111210125
2009,6403,2,389.6,111210125
2009,6403,10,167.05,111210125
2009,6403,12,10.0,111210125
2009,6415,4,661.5,111210125
2009,6415,6,370.4,111210125
2009,6420,3,429.62,111210125
2009,6420,6,259.9,111210125
2009,6425,4,536.0,111210125
2009,6425,6,300.1,111210125
2009,6428,6,109.2,111220900
2009,6430,6,14.6,111210125
2009,6431,6,115.2,111210125
2009,6433,4,115.0,111210125
2009,6433,6,64.4,111210125
2009,6434,6,112.0,111210125
2010,1,6,167.7,111220900
2010,2,6,280.7,111220803
2010,22,6,50.4,111210122
2010,23,6,50.4,111210122
2010,24,3,36.0,111210127
2010,27,6,214.9,111210127
2010,30,6,244.5,111210127
2010,31,3,89.81,111210127
2010,31,6,395.7,111210127
2010,33,1,204.58,111210127
2010,33,2,70.14,111210127
2010,35,3,302.7,111221100
2010,35,6,72.6,111221100
2010,38,3,42.88,111220300
2010,38,6,200.0,111220300
2010,73,6,160.8,111210127
2010,47,3,1158.4,111220900
2010,47,6,1678.0,111220900
2010,45,6,22.4,111220100
2010,70,4,50.0,111210127
2010,76,6,12.9,111210127
2010,77,6,32.9,111210127
2010,78,6,7.2,111210127
2010,79,3,828.48,111220803
2010,79,4,2671.2,111220803
2010,79,6,1495.8,111220803
2010,80,6,191.0,111220803
2010,81,6,57.9,111210127
2010,82,4,420.0,111220803
2010,82,6,235.2,111220803
2010,83,6,24.9,111210127
2010,84,3,286.65,111210127
2010,84,6,193.3,111210127
2010,86,6,28.7,111210127
