EJERCICIO,NRO_REGUL,NRO_RENG,CODIGO_FF,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,CODIGO_UE,CODIGO_AXT,COD_PROV,IMPORTE,DEUDA,OBSERVACIONES
2004,84,6,133,3,5,1,0,1110103000,18,0,0,3,,179,-2578.5,N,
2004,84,7,133,3,5,1,0,1110103000,34,0,0,3,,179,2578.5,N,
2004,84,8,133,3,5,1,0,1110103000,18,0,0,3,,75,-3169.5,N,
2004,84,9,133,3,5,1,0,1110103000,34,0,0,3,,75,3169.5,N,
2004,85,0,132,5,1,4,0,1110106000,24,0,0,7,,193,-28.65,N,
2004,85,1,132,5,1,4,0,1110106000,30,0,0,7,,193,28.65,N,
2004,85,2,132,2,1,1,0,1110106000,25,0,0,7,,50012,-861.9,N,
2004,85,3,132,5,1,4,0,1110106000,30,0,0,7,,50012,861.9,N,
2004,85,4,110,5,1,4,0,1110106000,30,0,0,7,,145,-119.0,N,
2004,85,5,132,5,1,4,0,1110106000,30,0,0,7,,145,119.0,N,
2004,85,6,110,5,2,1,0,1110106000,33,0,0,7,,5090,-8043.32,N,
2004,85,7,110,5,2,1,0,1110106000,24,0,0,7,,5090,8043.32,N,
2004,85,8,110,5,1,4,0,1110106000,33,0,0,7,,5090,8043.32,N,
2004,85,9,110,5,2,1,0,1110106000,24,0,0,7,,5090,-8043.32,N,
2004,85,10,110,5,1,4,0,1110106000,41,0,0,7,,380,-1632.0,N,
2004,85,11,132,5,1,4,0,1110106000,41,0,0,7,,380,1632.0,N,
2005,14,0,132,5,1,4,0,1110106000,41,0,0,7,,90,8497.5,N,
2005,14,1,132,5,1,4,0,1110106000,41,0,0,7,,90,7835.0,N,
2005,14,2,132,5,1,4,0,1110106000,32,0,0,7,,90,-16332.5,N,
2005,17,0,132,5,1,4,0,1110106000,41,0,0,7,,90,20026.8,N,
2005,17,1,132,5,1,4,0,1110106000,32,0,0,7,,90,-20026.8,N,
2005,18,0,132,5,1,4,0,1110106000,44,0,0,7,,50015,489.22,N,
2005,18,1,110,5,1,4,0,1110106000,24,0,0,7,,50015,-489.22,N,
2005,19,0,132,5,1,4,0,1110106000,32,0,0,7,,90,-7835.0,N,
2005,19,1,132,5,1,4,0,1110106000,41,0,0,7,,90,7835.0,N,
2005,20,0,110,3,1,4,0,1110104000,16,0,0,5,,50022,174.24,N,
