EJERCICIO,COD_PROV,EJERCICIO_OC,ORDEN_COMPRA,CODIGO_FF,ES_PROY,IMPORTE_TOTAL,OBSERVACIONES
2004,25,2003,2195,,N,130.0,DEUDA
2004,25,2003,2635,,N,1155.0,DEUDA
2004,25,2003,2484,,N,120.0,DEUDA
2004,25,2003,2429,,N,283.0,DEUDA
2004,25,2003,2455,,N,1321.0,DEUDA
2004,25,2003,2773,,N,233.0,DEUDA
2004,25,2003,2812,,N,1911.0,DEUDA
2004,146,2003,2815,,N,1002.3,deuda
2004,41,2003,2822,,N,300.0,deuda
2004,22,2003,2921,,N,72.17,deuda
2004,148,2003,2798,,N,650.0,deuda
2004,148,2003,2945,,N,650.0,deuda
2004,150,2003,2895,,N,252.11,deuda
2004,64,2003,2718,,N,1590.04,DEUDA
2004,64,2003,2567,,N,860.71,DEUDA
2004,87,2003,2835,,N,417.0,DEUDA
2004,58,2003,2955,,N,295.23,DEUDA
2004,155,2003,2314,,N,103.0,deuda
2004,128,2003,2920,,N,128.7,DEUDA
2004,128,2003,2823,,N,249.0,DEUDA
2004,129,2003,2839,,N,314.0,DEUDA
2004,3,2003,2817,,N,510.0,DEUDA
2004,56,2003,2956,,N,177.6,DEUDA
2004,38,2003,2914,,N,150.0,DEUDA
2004,39,2003,1794,,N,500.0,DEUDA
2004,40,2003,2728,,N,1840.0,DEUDA RESTO
2004,172,2003,543,,N,138.8,DEUDA
2004,122,2003,2831,,N,455.0,deuda
2004,177,2003,2813,,N,260.0,deuda
2004,158,2003,2964,,N,279.57,DEUDA
2004,56,2003,2957,,N,354.0,DEUDA
2004,63,2003,2753,,N,183.56,DEUDA
2004,63,2003,2757,,N,185.46,DEUDA
2004,123,2003,2913,,N,300.0,DEUDA
2004,135,2003,2965,,N,207.9,DEUDA
2004,9,2003,2915,,N,194.62,DEUDA
2004,74,2003,2963,,N,410.59,DEUDA
2004,88,2003,2853,,N,1598.72,drogas
2004,158,2003,2942,,N,869.0,DEUDA
2004,60,2003,2537,,N,135.88,DEUDA FLOTANTE
2004,67,2003,1808,,N,400.0,DEUDA FLOTANTE
2004,3,2003,2434,,N,117.0,DEUDA FLOTANTE
2004,97,2003,2382,,N,120.0,DEUDA
2004,21,2003,1986,,N,100.0,DEUDA FLOTANTE
2004,56,2003,2684,,N,191.0,DEUDA
2004,60,2003,2538,,N,121.0,DEUDA
2004,21,2003,2515,,N,165.0,DEUDA
2004,21,2003,2516,,N,227.0,DEUDA
2004,177,2003,2506,,N,160.0,DEUDA
2004,21,2003,857,,N,357.0,DEUDA
2004,21,2003,1233,,N,185.0,DEUDA
2004,160,2003,1335,,N,143.05,DEUDA
2004,86,2003,2574,,N,236.69,DEUDA
