EJERCICIO,NRO_OP,NRO_REG_COMP,TIPO_COMPROB,NRO_COMPROB,COD_PROV,CODIGO_FF,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,IMPORTE_IMPUT
2026,1214,471,FAC,0001-00000046,3228,131,3,4,9,0,1110106000,44,0,0,1051196.0
2026,1284,299,COM,1111-00000003,2549,110,3,5,4,0,1110108000,29,0,0,250593.0
2026,1286,299,COM,1111-00000003,2549,110,3,5,4,0,1110108000,29,0,0,250593.0
2026,1290,1787,FAB,0008-00005439,1066,110,2,8,4,0,1110103000,51,84,0,7954200.0
2026,42,27,COM,2025-34890000,50031,110,5,1,4,0,1110106000,24,0,0,100000.0
2026,208,55,FAB,0003-00004329,875,110,3,5,3,0,1110112000,1,0,0,80000.0
2026,209,445,FAB,0101-08724013,50922,132,3,1,1,0,1110102000,33,0,0,69439.24
2026,211,447,FAB,8173-96979395,50031,110,5,1,4,0,1110106000,24,0,0,16000.0
2026,212,448,FAB,2022-00001352,50003,110,3,7,2,0,1110104000,16,0,0,477900.0
2026,214,449,FAB,0004-68183317,50023,110,3,1,3,0,1110105000,50,0,0,21959.58
2026,214,449,FAB,0004-68183302,50023,110,3,1,3,0,1110105000,50,0,0,21959.5
2026,214,449,FAB,7004-68183342,50023,110,3,1,3,0,1110105000,30,0,0,24689.71
2026,214,449,FAB,7004-68183312,50023,110,3,1,3,0,1110105000,50,0,0,22393.3
2026,214,449,FAB,7004-68183301,50023,110,3,1,3,0,1110105000,50,0,0,22142.93
2026,214,449,FAB,7004-68183330,50023,110,3,1,3,0,1110105000,50,0,0,24108.13
2026,215,451,FAB,7004-68183322,50023,110,3,1,3,0,1110103000,1,0,0,43787.77
2026,216,451,FAB,7004-68183326,50023,110,3,1,3,0,1110103000,1,0,0,43787.77
2026,217,452,FAB,7004-68183322,50023,110,3,1,3,0,1110102000,1,0,0,43340.53
2026,219,453,FAB,7004-68183341,50023,110,3,1,3,0,1110106000,25,0,0,37005.73
2026,219,453,FAB,7004-68183340,50023,110,3,1,3,0,1110106000,24,0,0,23125.71
2026,220,454,FAB,7004-68183345,50023,132,3,1,3,0,1110105000,50,0,0,23829.12
2026,221,454,FAB,7004-68183349,50023,132,3,1,3,0,1110105000,50,0,0,23829.12
