ANIO_PRESUP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,CODIGO_META,CODIGO_UM,CANT_EJECUTADO,CANT_ESTIMADO,CANT_PROGRAMADO,CODIGO_PRESTAMO
2017,1110105000,27,0,0,27,10,200,200,200,
2017,1110105000,27,0,0,9,8,100,100,100,
2017,1110105000,27,0,0,22,21,100,115,125,
2017,1110105000,27,0,0,21,20,28,34,45,
2017,1110105000,27,0,0,20,19,28,32,36,
2017,1110105000,27,0,0,19,18,36,42,50,
2017,1110105000,27,0,0,18,17,40,46,50,
2017,1110105000,27,0,0,15,14,8000,8000,8000,
2017,1110104000,17,0,0,12,11,10000,10000,10000,
2017,1110113000,31,0,0,31,28,50,60,65,
2017,1110113000,32,0,0,32,29,4800,5800,6800,
2017,1110113000,32,0,0,26,25,4,15,20,
2017,1110113000,42,0,0,39,34,200,400,600,
2017,1110113000,42,0,0,25,24,720,1200,1500,
2017,1110113000,43,0,0,23,22,12,24,31,
2017,1110113000,47,0,0,35,32,4,6,8,
2017,1110104000,16,0,0,12,11,10000,10000,10000,
2017,1110104000,16,0,0,34,31,18,24,30,
2017,1110104000,16,0,0,2,2,450000,600000,635000,
2017,1110102000,33,0,0,19,18,0,0,16,
2017,1110102000,33,0,0,26,25,0,0,4,
2019,1110102000,33,0,0,19,18,0,0,16,
2019,1110102000,33,0,0,26,25,0,0,4,
2019,1110104000,16,0,0,12,11,10000,10000,10000,
2019,1110104000,16,0,0,34,31,18,24,30,
2019,1110104000,16,0,0,2,2,450000,600000,635000,
2019,1110104000,17,0,0,12,11,10000,10000,10000,
2019,1110105000,27,0,0,26,25,48,50,60,
2019,1110105000,27,0,0,28,10,1000,1000,1000,
2019,1110105000,27,0,0,27,10,200,200,200,
2019,1110105000,27,0,0,9,8,100,100,100,
2019,1110105000,27,0,0,22,21,100,115,125,
2019,1110105000,27,0,0,21,20,28,34,45,
2019,1110105000,27,0,0,20,19,28,32,36,
2019,1110105000,27,0,0,19,18,36,42,50,
2019,1110105000,27,0,0,18,17,40,46,50,
2019,1110105000,27,0,0,15,14,8000,8000,8000,
2019,1110106000,24,0,0,9,8,6000,6000,3500,
2019,1110106000,25,0,0,9,8,180,180,300,
2019,1110106000,42,0,0,9,8,2000,2000,2000,
2019,1110108000,29,0,0,13,12,6000,8000,10000,
2019,1110109000,28,0,0,15,14,0,6200,6200,
2019,1110109000,46,0,0,24,23,0,50,50,
2019,1110113000,31,0,0,31,28,50,60,65,
2019,1110113000,32,0,0,32,29,4800,5800,6800,
2019,1110113000,32,0,0,26,25,4,15,20,
2019,1110113000,42,0,0,39,34,200,400,600,
2019,1110113000,42,0,0,25,24,720,1200,1500,
2019,1110113000,43,0,0,23,22,12,24,31,
2019,1110113000,47,0,0,35,32,4,6,8,
2018,1110102000,33,0,0,26,25,15,20,25,
2018,1110104000,16,0,0,34,31,18,24,30,
2018,1110104000,16,0,0,2,2,450000,600000,635000,
2018,1110104000,17,0,0,12,11,10000,10000,10000,
2018,1110105000,27,0,0,26,25,48,50,60,
2018,1110105000,27,0,0,28,10,1000,1000,1000,
2018,1110105000,27,0,0,27,10,200,200,200,
2018,1110105000,27,0,0,9,8,100,100,100,
2018,1110105000,27,0,0,22,21,100,115,125,
2018,1110105000,27,0,0,21,20,28,34,45,
2018,1110105000,27,0,0,20,19,28,32,36,
2018,1110105000,27,0,0,19,18,36,42,50,
2018,1110105000,27,0,0,18,17,40,46,50,
2018,1110105000,27,0,0,15,14,8000,8000,8000,
2018,1110106000,24,0,0,9,8,2000,2500,3000,
2018,1110106000,25,0,0,9,8,50,60,60,
2018,1110106000,42,0,0,9,8,1300,1450,1600,
2018,1110108000,29,0,0,13,12,6000,8000,10000,
2018,1110109000,28,0,0,15,14,0,6200,6200,
2018,1110109000,46,0,0,24,23,0,50,50,
2018,1110113000,31,0,0,31,28,50,60,65,
2018,1110113000,32,0,0,32,29,4800,5800,6800,
2018,1110113000,32,0,0,26,25,4,15,20,
2018,1110113000,42,0,0,39,34,200,400,600,
2018,1110113000,42,0,0,25,24,720,1200,1500,
2018,1110113000,43,0,0,23,22,12,24,31,
2018,1110113000,47,0,0,35,32,4,6,8,
2003,1110103000,31,0,0,7,6,0,0,300,
2003,1110103000,31,0,0,3,4,0,0,500,
2003,1110103000,31,0,0,8,1,0,0,500,
2003,1110103000,31,0,0,4,7,0,0,150,
2003,1110106000,61,0,0,9,8,0,0,1500,
2004,1110104000,16,0,0,11,10,12000,12000,12000,
2004,1110104000,17,0,0,20,17,1200,1200,1200,
2004,1110105000,27,0,0,21,18,500,500,500,
2004,1110106000,24,0,0,18,16,3500,4000,4000,
2004,1110106000,25,0,0,18,16,50,50,50,
2004,1110108000,29,0,0,22,19,100,200,500,
2004,1110109000,28,0,0,18,16,100,100,600,
2004,1110110000,27,0,0,23,20,600,600,1200,
2004,1110111000,23,0,0,15,11,2000,3000,3792,
2004,1110103000,18,0,0,14,13,500,500,500,
2004,1110103000,19,0,0,12,12,400,400,400,
