EJERCICIO,NRO_REG_DEVEN,FECH_REG_DEVEN,NRO_REG_COMP,LUG_EMI,JURISDICCION,CODIGO_UE,CODIGO_FF,COD_PROV,TIPO_DOC,NRO_DOC,ANIO_DOC,IMPORTE_TOT,ESTADO_REG_DEVEN,CONFIRMADO,FECH_CONFIRM,FECH_ANUL,MOTIVO_ANUL,CANT_IMPRES,OBSERVACIONES,ASIENTO,ASIENTO_ANUL,F931
2026,1692,2026-03-13 00:00:00,1972,GMADA,1110118000,25,110,50008,,,,1545328.13,C,S,2026-03-13 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 1/23,11181,,
2026,1693,2026-03-13 00:00:00,1973,GMADA,1110118000,25,110,50008,,,,4397642.55,C,S,2026-03-13 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 1/23,11182,,
2026,1694,2026-03-13 00:00:00,1974,GMADA,1110118000,25,110,50008,,,,20882056.11,C,S,2026-03-13 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 1/23,11183,,
2026,1695,2026-03-13 00:00:00,1975,GMADA,1110118000,25,110,50008,,,,5814289.58,C,S,2026-03-13 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 1/23,11184,,
2026,1055,2026-02-23 00:00:00,1397,GMADA,1110102000,2,110,2969,,,,1807982.25,C,S,2026-02-23 00:00:00,,,1,facts 2478746-747,8211,,
2026,1061,2026-02-23 00:00:00,1213,GMADA,1110109000,13,110,2674,,,,504900.0,N,S,2026-02-23 00:00:00,,,1,fact 397,8236,,
2026,1069,2026-02-23 00:00:00,1297,GMADA,1110104000,5,131,2883,,,,209462.06,C,S,2026-02-23 00:00:00,,,1,"fact 1570
",8272,,
2026,1071,2026-02-23 00:00:00,1236,GMADA,1110106000,7,132,2450,,,,263500.0,C,S,2026-02-23 00:00:00,,,1,"fact 896
",8274,,
2026,1073,2026-02-23 00:00:00,185,GMADA,1110109000,13,132,3529,,,,400000.0,C,S,2026-02-23 00:00:00,,,1,"fact 165
",8276,,
2026,1074,2026-02-23 00:00:00,1310,GMADA,1110106000,7,132,2069,,,,850000.0,C,S,2026-02-23 00:00:00,,,1,"fact 187
",8277,,
2026,1075,2026-02-23 00:00:00,1367,GMADA,1110104000,5,131,413,,,,170000.0,C,S,2026-02-23 00:00:00,,,1,"fact 676
",8278,,
2026,1077,2026-02-23 00:00:00,196,GMADA,1110111000,3,131,33,,,,202989.0,C,S,2026-02-23 00:00:00,,,1,,8280,,
2026,1078,2026-02-23 00:00:00,83,GMADA,1110111000,3,131,33,,,,6359.0,C,S,2026-02-23 00:00:00,,,1,,8281,,
2026,1080,2026-02-23 00:00:00,510,GMADA,1110104000,5,131,33,,,,31824.0,C,S,2026-02-23 00:00:00,,,1,,8283,,
2026,1081,2026-02-23 00:00:00,246,GMADA,1110111000,3,131,33,,,,532582.0,C,S,2026-02-23 00:00:00,,,1,,8285,,
2026,1083,2026-02-23 00:00:00,539,GMADA,1110104000,5,131,33,,,,50226.0,C,S,2026-02-23 00:00:00,,,1,,8287,,
2026,1084,2026-02-23 00:00:00,540,GMADA,1110104000,5,131,33,,,,49351.0,C,S,2026-02-23 00:00:00,,,1,,8288,,
2026,1085,2026-02-23 00:00:00,560,GMADA,1110104000,5,131,33,,,,364620.0,C,S,2026-02-23 00:00:00,,,1,,8289,,
2026,1086,2026-02-23 00:00:00,521,GMADA,1110104000,5,131,33,,,,335273.0,C,S,2026-02-23 00:00:00,,,1,,8290,,
2026,1087,2026-02-23 00:00:00,403,GMADA,1110104000,5,131,33,,,,83125.0,C,S,2026-02-23 00:00:00,,,1,,8291,,
2026,1089,2026-02-23 00:00:00,359,GMADA,1110104000,5,131,33,,,,195303.0,C,S,2026-02-23 00:00:00,,,1,,8295,,
2026,1090,2026-02-23 00:00:00,198,GMADA,1110118000,25,110,33,,,,2800204.0,C,S,2026-02-23 00:00:00,,,1,,8296,,
2026,1092,2026-02-23 00:00:00,584,GMADA,1110102000,2,110,33,,,,133049.0,C,S,2026-02-23 00:00:00,,,1,,8298,,
2026,1094,2026-02-23 00:00:00,341,GMADA,1110113000,20,110,33,,,,8057045.06,C,S,2026-02-23 00:00:00,,,1,,8301,,
2026,1096,2026-02-23 00:00:00,474,GMADA,1110102000,2,132,33,,,,163217.0,C,S,2026-02-23 00:00:00,,,1,,8303,,
2026,1097,2026-02-23 00:00:00,524,GMADA,1110106000,7,110,33,,,,36787.0,C,S,2026-02-23 00:00:00,,,1,,8304,,
2026,1098,2026-02-23 00:00:00,473,GMADA,1110106000,7,132,33,,,,148019.0,C,S,2026-02-23 00:00:00,,,1,,8305,,
2026,1099,2026-02-23 00:00:00,473,GMADA,1110106000,7,132,33,,,,1660.0,C,S,2026-02-23 00:00:00,,,1,,8306,,
2026,1100,2026-02-23 00:00:00,202,GMADA,1110118000,25,110,33,,,,50836.0,C,S,2026-02-23 00:00:00,,,1,,8307,,
2026,1102,2026-02-23 00:00:00,499,GMADA,1110113000,20,110,33,,,,65039.0,C,S,2026-02-23 00:00:00,,,1,,8312,,
2026,1103,2026-02-23 00:00:00,201,GMADA,1110102000,2,110,33,,,,48470.0,C,S,2026-02-23 00:00:00,,,1,,8313,,
2026,1104,2026-02-23 00:00:00,199,GMADA,1110109000,13,110,33,,,,52569.0,C,S,2026-02-23 00:00:00,,,1,,8314,,
2026,1587,2026-03-10 00:00:00,1636,GMADA,1110106000,7,131,3454,,,,710717.6,C,S,2026-03-10 00:00:00,,,1,fact 14,10749,,
2026,1105,2026-02-23 00:00:00,474,GMADA,1110102000,2,132,33,,,,157814.0,C,S,2026-02-23 00:00:00,,,1,,8315,,
2026,1106,2026-02-23 00:00:00,404,GMADA,1110113000,20,110,33,,,,129017.0,C,S,2026-02-23 00:00:00,,,1,,8316,,
2026,1108,2026-02-23 00:00:00,583,GMADA,1110105000,6,110,33,,,,29049.0,C,S,2026-02-23 00:00:00,,,1,,8318,,
2026,1109,2026-02-23 00:00:00,214,GMADA,1110108000,14,110,33,,,,47775.0,C,S,2026-02-23 00:00:00,,,1,,8319,,
2026,1110,2026-02-23 00:00:00,511,GMADA,1110106000,7,110,33,,,,83767.0,C,S,2026-02-23 00:00:00,,,1,,8320,,
2026,1111,2026-02-23 00:00:00,498,GMADA,1110105000,6,110,33,,,,58876.0,C,S,2026-02-23 00:00:00,,,1,,8321,,
2026,1112,2026-02-23 00:00:00,512,GMADA,1110106000,7,110,33,,,,113108.0,C,S,2026-02-23 00:00:00,,,1,,8322,,
2026,1114,2026-02-23 00:00:00,270,GMADA,1110106000,7,132,33,,,,63978.17,C,S,2026-02-23 00:00:00,,,1,,8324,,
2026,1115,2026-02-23 00:00:00,468,GMADA,1110105000,6,110,33,,,,55268.0,C,S,2026-02-23 00:00:00,,,1,,8325,,
2026,1116,2026-02-23 00:00:00,405,GMADA,1110105000,6,110,33,,,,56669.0,C,S,2026-02-23 00:00:00,,,1,,8326,,
2026,1118,2026-02-23 00:00:00,497,GMADA,1110105000,6,110,33,,,,31130.51,C,S,2026-02-23 00:00:00,,,1,,8328,,
2026,1119,2026-02-23 00:00:00,131,GMADA,1110104000,5,131,1119,EXPED,5,2025,7224000.0,N,S,2026-02-23 00:00:00,,,1,"fact 32186
",8329,,
2026,1120,2026-02-23 00:00:00,116,GMADA,1110113000,20,110,2142,EXPED,161,2025,1310000.0,C,S,2026-02-23 00:00:00,,,1,"fact. 3351
",8330,,
2026,1201,2026-02-25 00:00:00,1151,GMADA,1110105000,6,110,3481,EXPED,224,2026,840000.0,C,S,2026-02-25 00:00:00,,,1,"fact 94
",8818,,
2026,1202,2026-02-25 00:00:00,1451,GMADA,1110118000,25,110,2151,,,,15000.0,N,S,2026-02-25 00:00:00,,,1,"fact 4178
",8819,,
2026,1203,2026-02-25 00:00:00,1277,GMADA,1110105000,6,110,360,,,,140000.0,C,S,2026-02-25 00:00:00,,,1,"fact 174
",8820,,S
2026,1204,2026-02-25 00:00:00,1468,GMADA,1110104000,5,131,3322,,,,70902.9,N,S,2026-02-25 00:00:00,,,1,"fact 4317

",8821,,
2026,1205,2026-02-25 00:00:00,1298,GMADA,1110104000,5,131,1943,,,,1614943.44,N,S,2026-02-25 00:00:00,,,1,"fact 2030
",8822,,
2026,1206,2026-02-25 00:00:00,1008,GMADA,1110104000,5,131,1876,,,,1803048.5,N,S,2026-02-25 00:00:00,,,1,"fact 44778
",8823,,
2026,1207,2026-02-25 00:00:00,1001,GMADA,1110104000,5,131,866,,,,5999994.23,N,S,2026-02-25 00:00:00,,,1,"fact 74805-806-807
",8824,,S
2026,1696,2026-03-13 00:00:00,1868,GMADA,1110106000,7,110,3296,,,,57112.0,N,S,2026-03-13 00:00:00,,,1,"fact 1976
",11203,,
2026,1697,2026-03-13 00:00:00,1850,GMADA,1110104000,5,131,717,,,,67760.0,N,S,2026-03-13 00:00:00,,,1,"fact 238
",11204,,
2026,1698,2026-03-13 00:00:00,1894,GMADA,1110106000,7,110,2770,,,,32500.0,N,S,2026-03-13 00:00:00,,,1,fact 9836,11205,,
2026,1699,2026-03-13 00:00:00,1897,GMADA,1110106000,7,110,1259,,,,53970.66,N,S,2026-03-13 00:00:00,,,1,"fact 18353
",11208,,
2026,1700,2026-03-13 00:00:00,1372,GMADA,1110118000,25,110,212,,,,250000.0,N,S,2026-03-13 00:00:00,,,1,fact 111,11210,,
2026,1701,2026-03-13 00:00:00,1844,GMADA,1110106000,7,132,2450,,,,249550.0,N,S,2026-03-13 00:00:00,,,1,"fact 899
",11212,,
2026,1702,2026-03-13 00:00:00,1749,GMADA,1110105000,6,110,300,,,,15820.0,N,S,2026-03-13 00:00:00,,,1,fact 4089,11213,,
2026,1703,2026-03-13 00:00:00,1818,GMADA,1110118000,25,110,1141,,,,770000.0,N,S,2026-03-13 00:00:00,,,1,fact 50,11214,,
2026,1704,2026-03-13 00:00:00,1905,GMADA,1110118000,25,110,2369,,,,787121.82,N,S,2026-03-13 00:00:00,,,1,"fact 11328
",11215,,
2026,1705,2026-03-13 00:00:00,898,GMADA,1110104000,5,131,3356,,,,72000.0,N,S,2026-03-13 00:00:00,,,1,"fact 52
",11216,,
2026,1706,2026-03-13 00:00:00,678,GMADA,1110104000,5,131,3356,,,,108000.0,N,S,2026-03-13 00:00:00,,,1,"fact 51
",11217,,
2026,1707,2026-03-13 00:00:00,1262,GMADA,1110104000,5,131,300,,,,116910.0,N,S,2026-03-13 00:00:00,,,1,"fact 4088
",11218,,
2026,1708,2026-03-13 00:00:00,1885,GMADA,1110118000,25,110,300,,,,633330.0,N,S,2026-03-13 00:00:00,,,1,fact 4087,11219,,S
2026,1709,2026-03-13 00:00:00,1877,GMADA,1110109000,13,132,300,,,,271146.0,N,S,2026-03-13 00:00:00,,,1,"fact 4082
",11220,,
2026,1710,2026-03-13 00:00:00,1738,GMADA,1110104000,5,131,2869,,,,1302038.0,N,S,2026-03-13 00:00:00,,,1,"fact 557
",11222,,
2026,1711,2026-03-13 00:00:00,1736,GMADA,1110104000,5,131,2869,,,,102810.0,N,S,2026-03-13 00:00:00,,,1,"fact 558
",11223,,
2026,1712,2026-03-13 00:00:00,1813,GMADA,1110104000,5,131,2869,,,,1523303.0,N,S,2026-03-13 00:00:00,,,1,fact 559,11224,,
2026,1713,2026-03-13 00:00:00,1760,GMADA,1110117000,24,110,2770,,,,7600.0,N,S,2026-03-13 00:00:00,,,1,"fact 9835
",11225,,
2026,1714,2026-03-13 00:00:00,1878,GMADA,1110109000,13,110,300,,,,136971.0,N,S,2026-03-13 00:00:00,,,1,"fact 4081
",11226,,
2026,1715,2026-03-13 00:00:00,1886,GMADA,1110118000,25,110,300,,,,629362.0,N,S,2026-03-13 00:00:00,,,1,"fact 4086
",11227,,
2026,1716,2026-03-13 00:00:00,1887,GMADA,1110118000,25,110,300,,,,353626.0,N,S,2026-03-13 00:00:00,,,1,"fact 4085
",11229,,
2026,1717,2026-03-13 00:00:00,1883,GMADA,1110109000,13,110,300,,,,151247.0,N,S,2026-03-13 00:00:00,,,1,"fact 4084
",11230,,S
2026,1718,2026-03-13 00:00:00,1880,GMADA,1110118000,25,110,300,,,,267470.0,N,S,2026-03-13 00:00:00,,,1,"fact 4083
",11233,,
2026,1719,2026-03-13 00:00:00,147,GMADA,1110106000,7,110,1809,,,,83430.0,C,S,2026-03-13 00:00:00,,,1,,11234,,
2026,1720,2026-03-13 00:00:00,561,GMADA,1110109000,13,110,1809,,,,39384.0,C,S,2026-03-13 00:00:00,,,1,,11239,,
2026,1721,2026-03-13 00:00:00,298,GMADA,1110106000,7,110,708,,,,2987.0,C,S,2026-03-13 00:00:00,,,1,,11247,,
2026,1722,2026-03-13 00:00:00,1980,GMADA,1110102000,2,110,50001,,,,364968.92,C,S,2026-03-13 00:00:00,,,1,facts 230/231/24154/129818/9820/9819/23609,11272,,
2026,1723,2026-03-13 00:00:00,1981,GMADA,1110102000,2,110,50002,,,,214329.72,C,S,2026-03-13 00:00:00,,,1,facts 166522/159243/162882/37016/37048/018,11280,,
2026,1728,2026-03-13 00:00:00,1986,GMADA,1110115000,22,110,50012,NOTA,4,2026,35647.5,C,S,2026-03-13 00:00:00,,,2,,11296,,
2026,1729,2026-03-13 00:00:00,1987,GMADA,1110111000,3,131,50012,NOTA,5,2026,36058.0,C,S,2026-03-13 00:00:00,,,1,,11297,,
2026,800,2026-02-11 00:00:00,158,GMADA,1110104000,5,131,1943,,,,1533696.78,C,S,2026-02-11 00:00:00,,,1,fact. 2022,6913,,
2026,957,2026-02-19 00:00:00,251,GMADA,1110106000,7,110,2869,,,,306900.0,C,S,2026-02-19 00:00:00,,,1,fact 545/546,7746,,
2026,958,2026-02-19 00:00:00,1280,GMADA,1110102000,2,132,50925,,,,90759.11,C,S,2026-02-19 00:00:00,,,2,GENERADO AUTOMáTICAMENTE A PARTIR DEL REG.COMP  :   1280  periodo 6/25.cuota 2,7748,,
2026,959,2026-02-19 00:00:00,1281,GMADA,1110102000,2,110,707,,,,1026659.0,C,S,2026-02-19 00:00:00,,,2,GENERADO AUTOMáTICAMENTE A PARTIR DEL REG.COMP  :   1281  seg,7767,,
2026,960,2026-02-19 00:00:00,1282,GMADA,1110111000,3,131,707,,,,12852.0,C,S,2026-02-19 00:00:00,,,2,GENERADO AUTOMáTICAMENTE A PARTIR DEL REG.COMP  :   1282  seg personal,7787,,
2026,968,2026-02-19 00:00:00,1318,GMADA,1110118000,25,110,51098,EXPED,3743,2026,912000.0,C,S,2026-02-19 00:00:00,,,2,GENERADO AUTOMáTICAMENTE A PARTIR DEL REG.COMP  :   1318  gastos por daño vehicular,7899,,
2026,978,2026-02-19 00:00:00,1323,GMADA,1110101000,1,131,50362,,,,248874.0,C,S,2026-02-19 00:00:00,,,2,GENERADO AUTOMáTICAMENTE A PARTIR DEL REG.COMP  :   1323  multas,7919,,
2026,979,2026-02-19 00:00:00,1324,GMADA,1110102000,2,110,50008,,,,118180.0,C,S,2026-02-19 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 52/7,7920,,
2026,980,2026-02-19 00:00:00,1325,GMADA,1110102000,2,110,50008,,,,190380.0,C,S,2026-02-19 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 52/7,7921,,
2026,981,2026-02-19 00:00:00,1326,GMADA,1110102000,2,110,50051,,,,22845.6,C,S,2026-02-19 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 52/7,7922,,
2026,982,2026-02-19 00:00:00,1327,GMADA,1110102000,2,110,50051,,,,14181.6,C,S,2026-02-19 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 52/7,7923,,
2026,983,2026-02-19 00:00:00,1328,GMADA,1110102000,2,110,50052,,,,5672.64,C,S,2026-02-19 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 52/7,7924,,
2026,984,2026-02-19 00:00:00,1329,GMADA,1110102000,2,110,50052,,,,9138.24,C,S,2026-02-19 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 52/7,7925,,
2026,985,2026-02-19 00:00:00,1330,GMADA,1110106000,7,110,50008,,,,424850.2,C,S,2026-02-19 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 52/7,7926,,
2026,986,2026-02-19 00:00:00,1331,GMADA,1110106000,7,110,50051,,,,22777.2,C,S,2026-02-19 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 52/7,7927,,
2026,987,2026-02-19 00:00:00,1332,GMADA,1110106000,7,110,50052,,,,9110.88,C,S,2026-02-19 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 52/7,7928,,
2026,988,2026-02-19 00:00:00,1333,GMADA,1110106000,7,132,50008,,,,177911.01,C,S,2026-02-19 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 52/7,7929,,
2026,989,2026-02-19 00:00:00,1334,GMADA,1110106000,7,132,50051,,,,6657.6,C,S,2026-02-19 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 52/7,7930,,
2026,990,2026-02-19 00:00:00,1335,GMADA,1110106000,7,132,50052,,,,2663.04,C,S,2026-02-19 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 52/7,7931,,
2026,991,2026-02-19 00:00:00,1336,GMADA,1110112000,19,110,50008,,,,1022960.0,C,S,2026-02-19 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 52/7,7932,,
2026,992,2026-02-19 00:00:00,1337,GMADA,1110112000,19,110,50051,,,,122755.2,C,S,2026-02-19 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 52/7,7933,,
2026,993,2026-02-19 00:00:00,1338,GMADA,1110112000,19,110,50052,,,,49102.08,C,S,2026-02-19 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 52/7,7934,,
2026,994,2026-02-19 00:00:00,1339,GMADA,1110113000,20,110,50008,,,,215756.35,C,S,2026-02-19 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 52/7,7935,,
2026,995,2026-02-19 00:00:00,1340,GMADA,1110113000,20,110,50051,,,,8755.2,C,S,2026-02-19 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 52/7,7936,,
2026,996,2026-02-19 00:00:00,1341,GMADA,1110113000,20,110,50052,,,,3502.08,C,S,2026-02-19 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 52/7,7937,,
