ANIO_PRESUP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,FECHA_REGIS,DESCRIPCION1,DESCRIPCION2,DESCRIPCION3,DESCRIPCION4,DESCRIPCION5,DESCRIPCION6
2005,1110103000,22,0,0,2004-10-20 13:59:48,"REALIZAMOS EL BARRIDO MANUAL DE LAS CALLES PAVIMENTADAS Y ESPACIOS PUBLICOS COMUNITARIOS.
",,,,,
2005,1110104000,17,0,0,2004-10-21 07:39:17,"REALIZAMOS EL CONTROL DEL ESTADO SANITARIO DE ALIMENTOS PARA CONSUMO EN COMERCIOS, PROVEEDORES Y PLANTAS FRIGORIFICAS.
INSCRIPCION DE PRODUCTOS ALIMENTICIOS DE FABRICAS LOCALES EN EL ORDEN PROVINCIAL Y NACIONAL.
REALIZAMOS VIGILANCIA DE ZOONOSIS EN GENERAL, CONTROL ANTIRRABICO, CONTROL DE PERROS CALLEJEROS Y/O PERJUDICIALES, DIFUSION Y EDUCACION PARA LA SALUD EN PLAGAS, LABORATORIO DE ANALISIS DE TRIQUINOSIS PARA CONTROL EN PRODUCTOS CARNEOS DEL PARTIDO.",,,,,
2005,1110108000,29,0,0,2004-10-25 19:15:37,"ESTIMULO PARA EL DESARROLLO LOCAL Y LA PRODUCCION.
CUIDADO DEL MEDIO AMBIENTE.
DEFENSA DE LOS DERECHOS DE LOS CONSUMIDORES Y LOS USUARIOS.
CAPACITACION LABORAL PARA LA COMUNIDAD.
",,,,,
2005,1110105000,27,0,0,2004-10-26 14:30:38,"EL ACCIONAR CULTURAL TENDERA A FOMENTAR LAS ACTIVIDADES CON EL SENTIDO POLITICO QUE PROMUEVA LA REUNION Y LA PARTICIPACION, CON PROCESOS DE PARTICIPACION CULTURAL Y VIDA ASOCIATIVA. LOS EJES DE ESTA POLITICA CULTURAL SERAN LOS JOVENES, LA IDENTIDAD, LA CULTURA LOCAL, LA CULTURA DEL TRABAJO. TODAS ESTAS ACTIVIDADES TENDERAN A REALIZARSE EN FORMA DESCENTRALIZADA, REFORZANDO A LAS ORGANIZACIONES NO GUBERNAMENTALES, FAVORECIENDO LAS RELACIONES DE LA VIDA COTIDIANA Y BARRIAL EN TODAS SUS FORMAS, PLANIFICANDO Y CAPACITANDO A LA GENTE.


",,,,,
2005,1110104000,16,0,0,2004-10-29 11:31:49,"SE BRINDA ATENCION PRIMARIA A LA SALUD DE LA POBLACION TANTO EN FORMA CENTRALIZADA DESDE EL HOSPITAL MUNICIPAL COMO DE LAS SALAS PERIFERICAS DE ATENCION EN LOS BARRIOS BELGRANO, SAN MARTIN Y NORTE.
SE REALIZAN CAMPAÑAS  PREVENCION Y EDUCACION EN MATERIA DE SALUD DE LA POBLACION.
",,,,,
2005,1110110000,30,0,0,2004-10-29 12:53:08,"PROMOCIONAMOS EL TURISMO POSICIONANDO A MADARIAGA COMO UN CENTRO TURISTICO DE EXCURSION.
SEGUIREMOS CONSOLIDANDO LOS DISTINTOS PRODUCTOS TURISTICOS QUE MADARIAGA TIENE PARA OFRECER Y DESARROLLAR PARA LLEGAR A SER UN CENTRO TURISTICO DE EXCURSION.
",,,,,
2006,1110108000,29,0,0,2005-10-06 09:14:44,"ESTIMULO PARA EL DESARROLLO, LA PRODUCCION Y EL EMPLEO.
DEFENSA DE LOS DERECHOS DE LOS CONSUMIDORES Y USUARIOS.
CAPACITACION LABORAL Y EMPRESARIAL PARA NUESTRA COMUNIDAD.",,,,,
2006,1110105000,27,0,0,2005-10-25 19:28:56,"EL PROGRAMA CULTURAL GENERAL DISEÑADO QUE YA SE ESTA REALIZANDO EN LOS ULTIMOS AÑOS TIENE COMO OBJETIVOS EL PROMOVER LA REUNION, LA PARTICIPACION Y LA VIDA ASOCIATIVA.
LOS DISTINTOS PROGRAMAS QUE SE EJECUTAN Y CONTINUARAN EJECUTANDO TIENEN COMO EJE EL TRABAJAR CON TODA LA POBLACION PONIENDO ENFASIS EN LOS JOVENES Y LA TERCERA EDAD.
TODOS LOS PROGRAMAS TENDEMOS A REALIZARLOS EN FORMA DESCENTRALIZADA REFORZANDO A LAS ONG FAVORECIENDO LAS RELACIONES DE LA VIDA COTIDIANA, BARRIAL Y COMUNITARIA EN TODA SUS FORMAS.",,,,,
2006,1110110000,30,0,0,2005-10-26 12:54:42,"PROMOCIONAMOS EL TURISMO POSICIONANDO A MADARIAGA COMO UN CENTRO TURISTICO DE EXCURSION.
SEGUIREMOS CONSOLIDANDO LOS DISTINTOS PRODUCTOS TURISTICOS QUE MADARIAGA TIENE PARA OFRECER Y DESARROLLAR PARA QUE MADARIAGA SE CONVIERTA EN UN CENTRO TURISTICO DE ESTADIA.",,,,,
2006,1110103000,18,0,0,2005-10-26 13:49:42,"SE REALIZA EL MANTENIMIENTO Y MEJORADO DE LAS CALLES DEL CASO URBANO. 
CONTROL Y GESTION DE LAS OBRAS PARTICULARES.
CONTROL Y GESTION DEL CATASTRO URBANO Y RURAL DEL PARTIDO.
DESMALEZAMIENTO DE ESPACIOS PUBLICOS, REPARACION DE CALZADAS, BACHEO, REPARACION Y MANTENIMIENTO DE MAQUINAS MUNICIPALES.
LIMPIEZA DE CANALES PLUVIALES DE LA CIUDAD, BOCAS DE TORMENTA.
",,,,,
2006,1110103000,19,0,0,2005-10-26 13:50:32,"BRINDAMOS EL SERVICIO DE ALUMBRADO A LA CIUDAD, REPOSICION DE LAMPARAS E INSTALACION DE NUEVAS LUMINARIAS DE IODO Y VAPOR DE MERCURIO.",,,,,
