EJERCICIO,TIPO,NRO_COMPROB,COD_PROV,NRO_REG_COMP,FECH_MOVIM,FECH_COMPROB,FECH_VENCIM,FECH_CONFORMAC,PORC_BONIF,FECH_BONIF,IMPORTE_COMPR,IMPORTE_PAGADO,RINDE_IVA,PORC_IVA,PORC_CRED_FISCAL,LIST_LIBRO_IVA,FECH_LIST_IVA,COD_PROV_REAL,RAZON_SOCIAL,CUIT,DETALLE,IMPORTE_SIN_IVA
2026,FAB,1001-00468853,193,1424,2026-02-23 00:00:00,2026-02-23 00:00:00,2026-02-23 00:00:00,2026-02-23 00:00:00,0.0,,240975.94,240975.94,N,21.0,0.0,0,,,,  -        - ,,199153.67
2026,FAB,2022-00001361,50003,1425,2026-02-23 00:00:00,2026-02-23 00:00:00,2026-02-23 00:00:00,2026-02-23 00:00:00,0.0,,90000.0,90000.0,N,21.0,0.0,0,,,,  -        - ,,74380.17
2026,FAB,1001-00468854,193,1426,2026-02-23 00:00:00,2026-02-23 00:00:00,2026-02-23 00:00:00,2026-02-23 00:00:00,0.0,,65514.22,65514.22,N,21.0,0.0,0,,,,  -        - ,,54143.98
2026,FAB,1001-00468855,193,1427,2026-02-23 00:00:00,2026-02-23 00:00:00,2026-02-23 00:00:00,2026-02-23 00:00:00,0.0,,81378.57,81378.57,N,21.0,0.0,0,,,,  -        - ,,67255.02
2026,FAB,1001-00468856,193,1428,2026-02-23 00:00:00,2026-02-23 00:00:00,2026-02-23 00:00:00,2026-02-23 00:00:00,0.0,,216711.68,216711.68,N,21.0,0.0,0,,,,  -        - ,,179100.56
2026,FAB,1001-00468857,193,1429,2026-02-23 00:00:00,2026-02-23 00:00:00,2026-02-23 00:00:00,2026-02-23 00:00:00,0.0,,2759651.31,2759651.31,N,21.0,0.0,0,,,,  -        - ,,2280703.56
2026,FAB,1001-00468858,193,1430,2026-02-23 00:00:00,2026-02-23 00:00:00,2026-02-23 00:00:00,2026-02-23 00:00:00,0.0,,20224001.89,20224001.89,N,21.0,0.0,0,,,,  -        - ,,16714051.15
2026,FAC,0002-00000212,3220,1275,2026-02-25 00:00:00,2026-02-25 00:00:00,2026-02-25 00:00:00,2026-02-25 00:00:00,0.0,,440000.0,440000.0,N,21.0,0.0,0,,,,  -        -,,440000.0
2026,FAB,0007-02484755,2969,518,2026-02-25 00:00:00,2026-02-25 00:00:00,2026-02-25 00:00:00,2026-02-25 00:00:00,0.0,,150000.01,150000.01,N,21.0,0.0,0,,,,  -        -,,123966.95
2026,COM,2025-10000001,50431,1478,2026-02-25 00:00:00,2026-02-25 00:00:00,2026-02-25 00:00:00,2026-02-25 00:00:00,0.0,,600.0,600.0,N,21.0,0.0,0,,,,  -        -,,600.0
