CODIGO,DESCRIPCION,TIPO_DEDUC,PORCENTAJE,SALDO,DECRIPCION_AB,CODIGO_AXT,EJERCICIO
5,"Sindicato
",O,,0.0,SIND,74009,2007
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2007
10,"APORTE PJ
",O,,0.0,PJ,74012,2007
11,"APORTE UCR
",O,,0.0,UCR,74011,2007
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2007
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2007
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2007
16,"F.O.S.
",O,,0.0,FOS,74013,2007
17,"PROCASA

",O,,0.0,PROC,74017,2007
18,"BANCO NACION
",O,,0.0,NACIO,74018,2007
20,"ATE
",O,,0.0,ATE,74019,2007
19,"UPCN
",O,,0.0,UPCN,74020,2007
21,REINTEGROS,O,,0.0,REIN,74021,2007
22,OSDE,O,,0.0,OSDE,74022,2007
784,SUSS,I,2.0,0.0,SUSS.,74023,2007
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2007
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2007
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2008
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2008
7,Embargos,O,,0.0,EMBA,74003,2008
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2008
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2008
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2008
4,Garantia,O,,0.0,GARAN,71001,2008
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2008
5,"Sindicato
",O,,0.0,SIND,74009,2008
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2008
10,"APORTE PJ
",O,,0.0,PJ,74012,2008
11,"APORTE UCR
",O,,0.0,UCR,74011,2008
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2008
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2008
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2008
16,"F.O.S.
",O,,0.0,FOS,74013,2008
17,"PROCASA

",O,,0.0,PROC,74017,2008
18,"BANCO NACION
",O,,0.0,NACIO,74018,2008
20,"ATE
",O,,0.0,ATE,74019,2008
19,"UPCN
",O,,0.0,UPCN,74020,2008
21,REINTEGROS,O,,0.0,REIN,74021,2008
22,OSDE,O,,0.0,OSDE,74022,2008
784,SUSS,I,2.0,0.0,SUSS.,74023,2008
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2008
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2008
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2009
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2009
7,Embargos,O,,0.0,EMBA,74003,2009
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2009
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2009
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2009
4,Garantia,O,,0.0,GARAN,71001,2009
8,RETENCIONES CAJA DE MEDICOS,O,,0.0,CAJA,74008,2009
5,"Sindicato
",O,,0.0,SIND,74009,2009
9,"TASAS MUNCIPALES
",O,,0.0,TASAS,74010,2009
10,"APORTE PJ
",O,,0.0,PJ,74012,2009
11,"APORTE UCR
",O,,0.0,UCR,74011,2009
12,"APORTE ADICIONAL
",O,,0.0,ADIC,74014,2009
14,"CAJA DE AHORRO
",O,,0.0,CAS,74015,2009
15,"PRESTAMO MUTUAL
",O,,0.0,MUTUA,74016,2009
16,"F.O.S.
",O,,0.0,FOS,74013,2009
17,"PROCASA

",O,,0.0,PROC,74017,2009
18,"BANCO NACION
",O,,0.0,NACIO,74018,2009
20,"ATE
",O,,0.0,ATE,74019,2009
19,"UPCN
",O,,0.0,UPCN,74020,2009
21,REINTEGROS,O,,0.0,REIN,74021,2009
22,OSDE,O,,0.0,OSDE,74022,2009
784,SUSS,I,2.0,0.0,SUSS.,74023,2009
23,BANCO PATAGONIA,O,,0.0,BCOPA,74024,2009
24,MUTUAL SINDICATO,O,,0.0,MUTU,74025,2009
900,A.F.I.P. - IVA,I,1.0,0.0,IVA,74026,2009
6,Ingresos Brutos,I,3.5,0.0,INGB,74004,2010
3,A.F.I.P.  - Ganancias,I,3.5,0.0,GAN,74001,2010
7,Embargos,O,,0.0,EMBA,74003,2010
13,retenciones de los serv. seguridad social,I,,0.0,SUSS,74005,2010
1,RETENCIONES I.P.S.,O,,0.0,IPS,74006,2010
2,RETENCIONES I.O.M.A.,O,,0.0,IOMA,74007,2010
4,Garantia,O,,0.0,GARAN,71001,2010
