ANIO_PRESUP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,DESAGREGA,DENOMINACION,DENOMINACION_AB,CODIGO_UE,EJECUTADO,ESTIMADO,PROGRAMADO,CODIGO_PRESTAMO,FINALIDAD,FUNCION,SUBFUNCION,CREDITO_INIC,CREDITO_MODIF,PREVENTIVO,COMPROMISO,DEVENGADO,PAGADO,PPG,PPG_PORCEN
2021,1110117000,34,0,0,N,Conduccion y modernizacion administrativa,Conduccion y modernizacio,24,0.0,0.0,0.0,,1,3,0,14002743.14,0.0,1753843.18,0.0,16694340.4,0.0,,
2025,1110113000,43,0,0,N,Atención de Policia Comunal,Atención Policia Comunal,20,0.0,0.0,0.0,,2,1,0,27200000.0,0.0,0.0,0.0,22000000.0,0.0,,
2021,1110118000,1,0,0,N,Conduccion y Administracion de la Secretaria de Servicios Generales y Mantenimiento,Conduccion y Adm,25,0.0,0.0,0.0,,1,3,0,5022074.0,0.0,2815254.96,0.0,10222422.45,0.0,,
2025,1110103000,51,98,0,N,Ss PUBLICO LOTEO MUNICIPAL,SS PUB LOTEO MUNICIPAL,3,0.0,0.0,0.0,,3,9,1,600000000.0,0.0,10672744.93,0.0,557613127.32,0.0,,
2025,1110115000,1,0,0,N,Coordinación General y Modernizacion del estado,Coordinación General,22,0.0,0.0,0.0,,3,4,1,128027776.0,0.0,26638020.48,0.0,198301015.09,0.0,,
2021,1110118000,45,0,0,N,Servicios de Cementerio,Servicios de Cementerio,25,0.0,0.0,0.0,,3,9,4,5406540.0,0.0,432410.08,0.0,6877361.4,0.0,,
2021,1110118000,46,0,0,N,Servicios Urbanos en General,Servicios Urbanos,25,0.0,0.0,0.0,,3,9,3,52826167.75,0.0,46871034.22,0.0,92517241.66,0.0,,
2025,1110113000,47,0,0,N,Apoyo a Bomberos Voluntarios,Apoyo a Bomberos,20,0.0,0.0,0.0,,2,1,0,29442622.0,0.0,0.0,0.0,25768439.43,0.0,,
2021,1110102000,35,0,0,N,Delegacion Macedo,Deleg. Macedo,2,0.0,0.0,0.0,,1,3,0,2413015.0,0.0,1326985.01,0.0,2891068.53,0.0,,
2021,1110103000,51,99,0,S,Plan de Obras Fondo Educativo,Plan Obras FE,3,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
