COD_PROV,COD_IMP,COD_ACTIV,COEF_CONV_MULTI
50056,IVA,EXENT,1.0
50057,GANAN,EXENT,1.0
50057,INGBR,EXENT,1.0
50057,IVA,EXENT,1.0
50058,GANAN,EXENT,1.0
50058,INGBR,EXENT,1.0
50058,IVA,EXENT,1.0
50059,GANAN,EXENT,1.0
50059,INGBR,EXENT,1.0
50059,IVA,EXENT,1.0
50060,GANAN,EXENT,1.0
50060,INGBR,EXENT,1.0
50060,IVA,EXENT,1.0
50061,GANAN,EXENT,1.0
50061,INGBR,EXENT,1.0
50061,IVA,EXENT,1.0
50062,GANAN,EXENT,1.0
50062,INGBR,EXENT,1.0
50062,IVA,EXENT,1.0
50063,GANAN,EXENT,1.0
50063,INGBR,EXENT,1.0
50063,IVA,EXENT,1.0
50064,GANAN,EXENT,1.0
50064,INGBR,EXENT,1.0
50064,IVA,EXENT,1.0
50065,GANAN,EXENT,1.0
50065,INGBR,EXENT,1.0
50065,IVA,EXENT,1.0
50066,GANAN,EXENT,1.0
50066,INGBR,EXENT,1.0
50066,IVA,EXENT,1.0
50067,GANAN,EXENT,1.0
50067,INGBR,EXENT,1.0
50067,IVA,EXENT,1.0
50068,GANAN,EXENT,1.0
50068,INGBR,EXENT,1.0
50068,IVA,EXENT,1.0
151,GANAN,SERVI,1.0
151,IVA,RESPO,1.0
153,GANAN,VTABI,1.0
153,IVA,RESPO,1.0
154,GANAN,VTABI,1.0
154,IVA,RESPO,1.0
156,GANAN,SERVI,1.0
156,IVA,RESPO,1.0
157,GANAN,VTABI,1.0
157,IVA,RESPO,1.0
158,GANAN,VTABI,1.0
158,IVA,RESPO,1.0
159,GANAN,SERVI,1.0
159,IVA,RESPO,1.0
160,GANAN,VTABI,1.0
160,IVA,RESPO,1.0
161,GANAN,VTABI,1.0
161,IVA,RESPO,1.0
162,GANAN,VTABI,1.0
162,IVA,RESPO,1.0
50069,GANAN,EXENT,1.0
50069,INGBR,EXENT,1.0
50069,IVA,EXENT,1.0
163,GANAN,SERVI,1.0
163,IVA,RESPO,1.0
1174,INGBR,A122R,1.0
165,GANAN,VTABI,1.0
165,IVA,RESPO,1.0
166,GANAN,VTABI,1.0
166,IVA,RESPO,1.0
1175,INGBR,A122R,1.0
169,GANAN,VTABI,1.0
173,IVA,EXENT,1.0
1176,INGBR,A122R,1.0
175,GANAN,VTABI,1.0
175,IVA,RESPO,1.0
50070,GANAN,EXENT,1.0
50070,INGBR,EXENT,1.0
50070,IVA,EXENT,1.0
50071,GANAN,EXENT,1.0
50071,IVA,EXENT,1.0
50072,GANAN,EXENT,1.0
50072,INGBR,EXENT,1.0
50072,IVA,EXENT,1.0
179,GANAN,SERVI,1.0
179,IVA,RESPO,1.0
180,IVA,RESPO,1.0
181,IVA,RESPO,1.0
1177,INGBR,A122R,1.0
7,GANAN,VTABI,1.0
183,IVA,RESPO,1.0
184,IVA,RESPO,1.0
50073,GANAN,EXENT,1.0
50073,INGBR,EXENT,1.0
50073,IVA,EXENT,1.0
185,IVA,RESPO,1.0
1178,INGBR,A122R,1.0
192,GANAN,VTABI,1.0
192,IVA,RESPO,1.0
195,GANAN,VTABI,1.0
195,IVA,RESPO,1.0
196,GANAN,SERVI,1.0
196,IVA,RESPO,1.0
197,GANAN,VTABI,1.0
197,IVA,RESPO,1.0
198,GANAN,VTABI,1.0
198,IVA,RESPO,1.0
199,GANAN,VTABI,1.0
199,IVA,RESPO,1.0
200,GANAN,VTABI,1.0
200,IVA,RESPO,1.0
201,IVA,EXENT,1.0
204,GANAN,VTABI,1.0
204,IVA,RESPO,1.0
207,GANAN,VTABI,1.0
207,IVA,RESPO,1.0
50074,GANAN,EXENT,1.0
50074,INGBR,EXENT,1.0
50074,IVA,EXENT,1.0
50075,GANAN,HONOR,1.0
50075,IVA,EXENT,1.0
208,GANAN,SERVI,1.0
208,IVA,EXENT,1.0
1179,INGBR,A122R,1.0
1239,INGBR,A122R,1.0
214,GANAN,VTABI,1.0
