EJERCICIO,COD_INGRESO,ORDEN,PORCENTAJE,TIPO_INGRESO,TIPO,CLASE,CONCEPTO,SUBCONCEPTO,CODIGO_AXT,JURISDICCION,CUENTA
2008,10,1,100.0,P,12,1,17,8,,1110112000,111210121
2008,12,1,100.0,P,12,1,17,9,,1110112000,111210121
2008,230,1,100.0,P,17,5,1,15,,1110112000,111220100
2008,231,1,100.0,P,17,5,1,6,,1110112000,111220100
2008,13,1,100.0,P,11,4,3,3,,1110112000,111210121
2008,14,1,100.0,P,12,6,2,0,,1110112000,111210121
2008,98,1,55.0,P,12,2,3,0,,1110112000,111210124
2008,32,1,100.0,P,17,5,1,16,,1110112000,111220100
2008,97,1,100.0,P,33,1,1,0,,1110112000,111210121
2008,33,1,50.0,P,12,6,1,0,,1110112000,111210101
2008,33,2,10.0,E,,,,,71005,,111210111
2008,33,3,20.0,E,,,,,71006,,111210111
2008,33,4,5.0,E,,,,,71008,,111210111
2008,33,5,15.0,E,,,,,71007,,111210111
2008,34,1,100.0,P,12,6,1,0,,1110112000,111210101
2008,96,3,80.0,P,12,6,5,0,,1110112000,111210101
2008,95,1,100.0,P,12,6,5,0,,1110112000,111210112
2008,90,1,100.0,E,,,,,71999,,111210122
2008,89,1,100.0,P,17,5,1,18,,1110112000,111220100
2008,94,1,100.0,P,33,1,2,0,,1110112000,111210121
2008,93,1,100.0,P,37,5,2,1,,1110112000,111210113
2008,15,1,100.0,P,12,2,10,3,,1110112000,111210123
2008,35,1,100.0,P,17,5,1,19,,1110112000,
2008,36,1,100.0,P,17,5,1,8,,1110112000,111220100
2008,37,1,80.0,P,12,1,6,0,,1110112000,111210124
2008,38,1,100.0,P,12,1,6,0,,1110112000,111210124
2008,96,2,20.0,E,,,,,71011,,111210112
2008,39,1,100.0,P,12,1,23,0,,1110112000,111210101
2008,40,1,100.0,P,12,2,3,0,,1110112000,111210101
2008,41,1,100.0,P,12,2,2,0,,1110114000,111210101
2008,43,1,100.0,P,12,1,19,2,,1110112000,111210101
2008,42,1,100.0,P,17,5,1,1,,1110112000,111210101
2008,44,1,100.0,P,12,9,3,0,,1110112000,111210101
2008,45,1,100.0,P,12,1,9,0,,1110112000,111210101
2008,46,1,100.0,P,12,9,2,0,,1110112000,111210101
2008,47,1,100.0,P,12,1,14,0,,1110112000,111210101
2008,49,1,100.0,P,12,1,17,2,,1110112000,111210101
2008,37,2,20.0,E,,,,,73023,,111210101
2008,48,1,100.0,P,12,1,20,0,,1110112000,111210101
2008,50,1,100.0,P,12,1,16,0,,1110112000,111210101
2008,51,1,75.0,P,12,1,21,0,,1110112000,111210101
2008,51,2,25.0,E,,,,,73021,,111210115
2008,52,1,50.0,P,12,1,16,0,,1110112000,111210101
2008,52,2,50.0,E,,,,,71010,,111210101
2008,53,1,100.0,P,12,1,19,1,,1110112000,111210101
2008,54,1,100.0,P,12,2,1,0,,1110112000,111210101
2008,55,1,100.0,P,12,2,12,0,,1110112000,111210101
2008,56,1,100.0,E,,,,,73003,,111210101
2008,57,1,100.0,P,12,6,6,0,,1110112000,111210101
2008,58,1,100.0,P,17,5,1,19,,1110112000,111220100
