CODIGO,JURISDICCION,DESCRIPCION,PADRE,SELECCIONABLE
INSTRA,1110102000,INSPECCION Y TRANSITO,,S
PRENS,1110102000,prensa,,S
DELE,1110102000,DELEGACION MUNICIPAL,,S
RECAUD,1110102000,RECAUDACION,,S
JUZFAL,1110102000,JUZGADO DE FALTAS,,S
DGU,1110102000,DEPARTAMENTO DE GUIAS,,S
SECGOB,1110102000,DESCENTRALIZACION TRIBUTARIA,,S
PERS,1110102000,PERSONAL,,S
GOBHAC,1110102000,GOBIERNO,,S
FINA,1110102000,DIRECCION DE FINANZAS,,S
ASE,1110102000,ASESORIA LEGAL,,S
ARCHIV,1110102000,ARCHIVO CENTRAL,,S
MED,1110108000,MEDIO AMBIENTE,,S
ESPVER,1110108000,Espacios Verdes,,S
CONMU,1110102000,CONMUTADOR,,S
FIS,1110102000,FISCALIA,,N
ADFIN,1110102000,ADMINISTRACION FINANCIERA,,S
SECP,1110102000,SECRETARIA  PRIVADA,,S
MAM,1110103000,MEDIO AMBIENTE,,S
MA,1110103000,MEDIO AMBIENTE,,S
DEFC,1110102000,DEFENSA CIVIL,,S
AREAJ,1110102000,AREA JUVENTUD,,S
GOB,1110102000,SECRETARIA DE GOBIERNO,,S
INS,1110113000,INSPECCION,,S
TRA,1110113000,TRANSITO,,S
COMI,1110113000,COMISARIA,,S
SECHAC,1110112000,secretario de hacienda,,S
COMPR,1110112000,compras,,S
TESOR,1110112000,tesoreria,,S
RECAU,1110112000,recaudacion,,S
TRIB,1110112000,tributaria,,S
CONTAD,1110112000,contaduria,,S
SECRGE,1110101000,SECRETARIA GENERAL,,S
GUI,1110108000,guias,,S
DEL,1110114000,DELEGADO MUNICIPAL,,S
SECSEG,1110113000,SECRETARIO DE SEGURIDAD,,S
SEHA,1110112000,HACIENDA,,S
SANAMB,1110108000,SANEAMIENTO AMBIENTAL,PROD,S
DEPOS,1110103000,DEPOSITO,,S
PRE,1110115000,PRENSA,,S
PREV,1110102000,Prevision Social,,
SECGRA,1110115000,Secretaria,,
SEG,1110113000,Seguridad,,
PRTER,1110109000,TERCERA EDAD,,
SECRET,1110115000,SECRETARIA GENERAL,,S
PARQ,1110108000,PARQUE ANCHORENA,,S
INGPU,1110112000,INGRESOS PUBLICOS,,S
INGPUB,1110112000,INGRESOS PUBLICOS,RECAU,S
CONTRA,1110112000,CONTRATACIONES,,S
ESVERD,1110103000,Espacios Verdes,,S
INSCOM,1110112000,INSPECCION DE COMERCIO,,
DEFCIV,1110113000,DEFENSA CIVIL,,
SABEL,1110104000,sala 1º auxilio bº belgrano,,S
SASM,1110104000,sala 1º auxilio bº san martin,,S
BANOR,1110104000,sala 1º auxilio bº norte,,S
111010,1110103000,VIVERO,,S
10,1110103000,SANEAMIENTO AMBIENTAL,,S
110,1110113000,DEFENSA CIVIL,,S
INSPEC,1110112000,inspeccion y comercio,,S
IN,1110112000,INSPECCION,,S
MUMA,1110105000,MUSEO MAPU,,S
15,1110102000,OMIC,,S
COMMUJ,1110113000,COMISARIA DE LA MUJER,,S
CDEE,1110102000,CENTRO DE ESTUDIANTES DE MAR DEL PLATA,,S
RECHUM,1110102000,RECURSOS HUMANOS,,S
MUSH,1110105000,MUSEO HISTORICO,,S
CENOPE,1110113000,CENTRO OPERATIVO DE MONITOREO,,S
ALM,1110112000,ALMACEN DE BIENES PATRIMONIALES,,S
PASEOB,1110103000,PASEO DEL BICENTENARIO,,S
CAP,1110104000,CENTRO ASISTENCIAL PRIMARIO DE SALUD,,S
MAMOG,1110104000,SALA MAMOGRAFIA,,S
SALAKI,1110104000,SALA DE KINESIOLOGIA,,S
PRES,1110105000,PRENSA,,S
DELPI,1110112000,DELEGACION PIRAN,,S
ESCAGR,1110108000,ESCUELA AGRARIA,,S
CASADE,1110102000,CENTRO DE ESTUDIANTES MAR DEL PLATA,,S
INTSOC,1110103000,INTERNET SOCIAL,,S
SECOPU,1110103000,SECRETARIA,,S
