ANIO_PRESUP,JURISDICCION,TIPO,CLASE,CONCEPTO,SUBCONCEPTO,EJECUTADO,ESTIMADO,PROGRAMADO,PROY1,PROY2,EXENCIONES,OTRAS,POLITICA_TRIB_1,POLITICA_TRIB_2,VAL_PROY_MODIF
2008,1110112000,11,4,3,2,326022.26,300000.0,505976.0,,,,,0.0,0.0,N
2008,1110112000,11,4,3,4,91810.16,182141.33,194134.0,,,,,0.0,0.0,N
2008,1110112000,11,9,1,0,414291.0,395000.0,598251.0,,,,,0.0,0.0,N
2008,1110112000,12,1,1,2,115338.93,129000.0,295000.0,,,,,0.0,0.0,N
2008,1110112000,12,1,2,0,60.0,500.0,500.0,,,,,0.0,0.0,N
2008,1110112000,12,1,3,1,202234.45,237000.0,511250.0,,,,,0.0,0.0,N
2008,1110112000,12,1,3,2,378356.96,229000.0,195000.0,,,,,0.0,0.0,N
2008,1110112000,12,1,3,3,605611.85,684000.0,1372500.0,,,,,0.0,0.0,N
2008,1110112000,12,1,3,4,59666.4,145000.0,170000.0,,,,,0.0,0.0,N
2008,1110112000,12,1,4,0,13765.0,50000.0,11000.0,,,,,0.0,0.0,N
2008,1110112000,12,1,5,1,89540.66,113000.0,130000.0,,,,,0.0,0.0,N
2008,1110112000,12,1,5,2,85256.14,63000.0,160000.0,,,,,0.0,0.0,N
2008,1110112000,12,1,6,0,52896.55,60000.0,190000.0,,,,,0.0,0.0,N
2008,1110112000,12,1,9,0,288132.29,298000.0,420000.0,,,,,0.0,0.0,N
2008,1110112000,12,1,14,0,558.0,1000.0,1000.0,,,,,0.0,0.0,N
2008,1110112000,12,1,15,0,7536.75,5000.0,2000.0,,,,,0.0,0.0,N
2008,1110112000,12,1,16,0,218512.5,110000.0,360000.0,,,,,0.0,0.0,N
2008,1110112000,12,1,17,2,22912.79,22000.0,14000.0,,,,,0.0,0.0,N
2008,1110112000,12,1,17,3,0.0,9000.0,10000.0,,,,,0.0,0.0,N
2008,1110112000,12,1,17,4,0.0,6000.0,4000.0,,,,,0.0,0.0,N
2008,1110112000,12,1,17,5,0.0,10000.0,18000.0,,,,,0.0,0.0,N
2008,1110112000,12,1,17,6,0.0,10000.0,10000.0,,,,,0.0,0.0,N
2008,1110112000,12,1,17,7,0.0,18000.0,11000.0,,,,,0.0,0.0,N
2008,1110112000,12,1,17,8,0.0,3000.0,1000.0,,,,,0.0,0.0,N
2008,1110112000,12,1,17,10,0.0,9000.0,9000.0,,,,,0.0,0.0,N
2008,1110112000,12,1,17,11,0.0,3000.0,3000.0,,,,,0.0,0.0,N
2008,1110112000,12,1,18,0,1964.0,6000.0,6000.0,,,,,0.0,0.0,N
2008,1110112000,12,1,21,0,0.0,0.0,660000.0,,,,,0.0,0.0,N
2008,1110112000,12,2,1,0,10572.55,1000.0,35000.0,,,,,0.0,0.0,N
2008,1110112000,12,2,2,0,0.0,500.0,500.0,,,,,0.0,0.0,N
2008,1110112000,12,2,3,0,10494.56,7000.0,180000.0,,,,,0.0,0.0,N
2008,1110112000,12,2,5,0,26063.75,17000.0,30000.0,,,,,0.0,0.0,N
2008,1110112000,12,2,8,0,79610.18,94000.0,135000.0,,,,,0.0,0.0,N
2008,1110112000,12,2,10,1,614.61,1000.0,1000.0,,,,,0.0,0.0,N
2008,1110112000,12,2,10,2,41563.28,40000.0,90000.0,,,,,0.0,0.0,N
2008,1110112000,12,2,10,3,3094.13,6000.0,35000.0,,,,,0.0,0.0,N
2008,1110112000,12,2,12,0,56670.25,58000.0,85000.0,,,,,0.0,0.0,N
2008,1110112000,12,6,1,0,13889.53,4000.0,7000.0,,,,,0.0,0.0,N
2008,1110112000,12,6,2,0,493920.23,481000.0,190000.0,,,,,0.0,0.0,N
2008,1110112000,12,6,3,0,8277.76,25000.0,30000.0,,,,,0.0,0.0,N
2008,1110112000,12,9,2,0,58444.63,108000.0,108000.0,,,,,0.0,0.0,N
2008,1110112000,12,9,3,0,68137.15,14400.0,14400.0,,,,,0.0,0.0,N
2008,1110112000,16,2,3,0,32241.16,50000.0,66000.0,,,,,0.0,0.0,N
2008,1110112000,17,5,1,14,22720.0,136320.0,192000.0,,,,,0.0,0.0,N
2008,1110112000,11,4,3,5,0.0,0.0,40825.0,,,,,0.0,0.0,N
2009,1110112000,11,4,1,0,5461011.11,7251200.0,14243810.0,,,,,0.0,0.0,N
2009,1110112000,11,4,2,0,118987.17,131000.0,270000.0,,,,,0.0,0.0,N
2009,1110112000,11,4,3,1,237066.58,341928.91,401903.0,,,,,0.0,0.0,N
2009,1110112000,11,4,3,2,326022.26,300000.0,507436.0,,,,,0.0,0.0,N
