EJERCICIO,NRO_REG_COMP,FECH_REG_COMP,LUG_EMI,JURISDICCION,CODIGO_UE,COD_PROV,TIPO_REGIS,NRO_ORIG,CODIGO_FF,UNI_COMPRA,NRO_OC,DELEG_SOLIC,NRO_SOLIC,TIPO_DOC,NRO_DOC,ANIO_DOC,IMPORTE_TOT,ESTADO_REG_COMP,CONFIRMADO,FECH_CONFIRM,FECH_ANUL,MOTIVO_ANUL,CANT_IMPRES,CONCEPTO,FECH_RELOJ,DEUDA,DEPENDENCIA,INSISTIDO,RC_DIFERIDO,EJERCICIO_ANT,NRO_REG_COMP_ANT,RC_EJERCICIO_ANT
2026,1877,2026-03-11 00:00:00,GMADA,1110109000,13,300,R,1877,132,1,980,1,1016,,,,271146.0,D,S,2026-03-11 00:00:00,,,1,pint,2026-03-11 00:00:00,N,DEP,2026-03-11 00:00:00,N,2026,,N
2026,1878,2026-03-11 00:00:00,GMADA,1110109000,13,300,R,1878,110,1,981,1,1017,,,,136971.0,D,S,2026-03-11 00:00:00,,,1,arts de ferret,2026-03-11 00:00:00,N,DEP,2026-03-11 00:00:00,N,2026,,N
2026,1879,2026-03-11 00:00:00,GMADA,1110104000,5,2310,R,1879,131,1,963,1,1041,,,,94095.28,N,S,2026-03-11 00:00:00,,,1,hierro,2026-03-11 00:00:00,N,PO,2026-03-11 00:00:00,N,2026,,N
2026,1880,2026-03-11 00:00:00,GMADA,1110118000,25,300,R,1880,110,1,991,1,1048,,,,267470.0,D,S,2026-03-11 00:00:00,,,1,arts de ferret,2026-03-11 00:00:00,N,000SU,2026-03-11 00:00:00,N,2026,,N
2026,1881,2026-03-11 00:00:00,GMADA,1110109000,13,2595,R,1881,110,1,992,1,1049,,,,16150.0,N,S,2026-03-11 00:00:00,,,1,plaqueta,2026-03-11 00:00:00,N,DEP,2026-03-11 00:00:00,N,2026,,N
2026,1882,2026-03-11 00:00:00,GMADA,1110104000,5,285,R,1882,131,1,993,1,1026,,,,417597.28,N,S,2026-03-11 00:00:00,,,1,medicamentos,2026-03-11 00:00:00,N,LAB,2026-03-11 00:00:00,N,2026,,N
2026,1883,2026-03-11 00:00:00,GMADA,1110109000,13,300,R,1883,110,1,985,1,1020,,,,151247.0,D,S,2026-03-11 00:00:00,,,1,arts de elect,2026-03-11 00:00:00,N,DEP,2026-03-11 00:00:00,N,2026,,N
2026,1884,2026-03-11 00:00:00,GMADA,1110118000,25,3332,R,1884,110,1,986,1,1021,,,,329200.0,D,S,2026-03-11 00:00:00,,,1,carga de matafuegos,2026-03-11 00:00:00,N,000SU,2026-03-11 00:00:00,N,2026,,N
2026,1885,2026-03-11 00:00:00,GMADA,1110118000,25,300,R,1885,110,1,987,1,1022,,,,633330.0,D,S,2026-03-11 00:00:00,,,1,arts de ferret,2026-03-11 00:00:00,N,000SU,2026-03-11 00:00:00,N,2026,,N
2026,1886,2026-03-11 00:00:00,GMADA,1110118000,25,300,R,1886,110,1,988,1,1023,,,,629362.0,D,S,2026-03-11 00:00:00,,,1,arts de ferret,2026-03-11 00:00:00,N,DECI,2026-03-11 00:00:00,N,2026,,N
2026,1887,2026-03-11 00:00:00,GMADA,1110118000,25,300,R,1887,110,1,989,1,1024,,,,353626.0,D,S,2026-03-11 00:00:00,,,1,arts de ferret,2026-03-11 00:00:00,N,DECI,2026-03-11 00:00:00,N,2026,,N
2026,1888,2026-03-11 00:00:00,GMADA,1110118000,25,68,R,1888,110,1,990,1,1025,,,,380000.0,N,S,2026-03-11 00:00:00,,,1,trabajos de plomeria,2026-03-11 00:00:00,N,000SU,2026-03-11 00:00:00,N,2026,,N
2026,1889,2026-03-11 00:00:00,GMADA,1110104000,5,2209,R,1889,131,1,994,1,1050,,,,511306.5,N,S,2026-03-11 00:00:00,,,1,alimentos,2026-03-11 00:00:00,N,COC,2026-03-11 00:00:00,N,2026,,N
2026,1890,2026-03-11 00:00:00,GMADA,1110108000,14,2310,R,1890,110,1,996,1,1051,,,,345802.8,N,S,2026-03-11 00:00:00,,,1,hierro,2026-03-11 00:00:00,N,PROD,,N,2026,,N
2026,1891,2026-03-11 00:00:00,GMADA,1110104000,5,3322,R,1891,131,1,940,1,998,,,,627166.83,D,S,2026-03-11 00:00:00,,,1,arts de limp,2026-03-11 00:00:00,N,LAV,2026-03-11 00:00:00,N,2026,,N
2026,1892,2026-03-11 00:00:00,GMADA,1110102000,2,2330,R,1892,110,1,943,1,1009,,,,4750000.0,N,S,2026-03-11 00:00:00,,,1,combust,2026-03-11 00:00:00,N,GOB,2026-03-11 00:00:00,N,2026,,N
2026,1893,2026-03-11 00:00:00,GMADA,1110106000,7,1206,R,1893,110,1,944,1,1008,,,,165000.0,D,S,2026-03-11 00:00:00,,,1,monitor,2026-03-11 00:00:00,N,ACCSOC,2026-03-11 00:00:00,N,2026,,N
2026,1894,2026-03-11 00:00:00,GMADA,1110106000,7,2770,R,1894,110,1,946,1,991,,,,32500.0,D,S,2026-03-11 00:00:00,,,1,repuestos de computac,2026-03-11 00:00:00,N,ACCSOC,2026-03-11 00:00:00,N,2026,,N
2026,1895,2026-03-11 00:00:00,GMADA,1110113000,20,688,R,1895,110,1,947,1,1010,,,,487000.0,D,S,2026-03-11 00:00:00,,,1,bateria,2026-03-11 00:00:00,N,SECSEG,2026-03-11 00:00:00,N,2026,,N
2026,1896,2026-03-11 00:00:00,GMADA,1110118000,25,216,R,1896,110,1,951,1,989,,,,180500.0,D,S,2026-03-11 00:00:00,,,1,arts de limp,2026-03-11 00:00:00,N,000SU,2026-03-11 00:00:00,N,2026,,N
2026,1897,2026-03-11 00:00:00,GMADA,1110106000,7,1259,R,1897,110,1,953,1,988,,,,53970.66,D,S,2026-03-11 00:00:00,,,1,arts de elect,2026-03-11 00:00:00,N,ACCSOC,2026-03-11 00:00:00,N,2026,,N
2026,1899,2026-03-11 00:00:00,GMADA,1110113000,20,50087,R,1899,131,,,,,,,,3000000.0,D,S,2026-03-11 00:00:00,,,1,copres 11-3,2026-03-11 00:00:00,N,SECSEG,2026-03-11 00:00:00,N,2026,,N
2026,1900,2026-03-11 00:00:00,GMADA,1110106000,7,50087,R,1900,132,,,,,,,,250000.0,D,S,2026-03-11 00:00:00,,,1,copres 11-3,2026-03-11 00:00:00,N,ACCSOC,2026-03-11 00:00:00,N,2026,,N
2026,1901,2026-03-11 00:00:00,GMADA,1110101000,1,50087,R,1901,110,,,,,,,,200000.0,D,S,2026-03-11 00:00:00,,,1,copres 11/3,2026-03-11 00:00:00,N,INT,2026-03-11 00:00:00,N,2026,,N
2026,1902,2026-03-11 00:00:00,GMADA,1110111000,3,50087,R,1902,131,,,,,,,,280000.0,D,S,2026-03-11 00:00:00,,,2,copres 11-3,2026-03-11 00:00:00,N,CAS,2026-03-11 00:00:00,N,2026,,N
2026,1904,2026-03-11 00:00:00,GMADA,1110104000,5,50087,R,1904,131,,,,,,,,1418000.0,D,S,2026-03-11 00:00:00,,,1,copres 11-3,2026-03-11 00:00:00,N,HOSP,2026-03-11 00:00:00,N,2026,,N
2026,1992,2026-03-16 00:00:00,GMADA,1110102000,2,50023,R,1992,110,,,,,,,,110525.1,D,S,2026-03-16 00:00:00,,,2,periodo 02/26,2026-03-16 00:00:00,N,ADFIN,,N,2026,,N
2026,1998,2026-03-16 00:00:00,GMADA,1110102000,2,50023,R,1998,132,,,,,,,,73533.91,D,S,2026-03-16 00:00:00,,,2,periodo 01/26,2026-03-16 00:00:00,N,CASADE,,N,2026,,N
2026,2010,2026-03-16 00:00:00,GMADA,1110106000,7,50023,R,2010,110,,,,,,,,59089.65,D,S,2026-03-16 00:00:00,,,2,periodo 02/26,2026-03-16 00:00:00,N,ACCSOC,,N,2026,,N
2026,2014,2026-03-16 00:00:00,GMADA,1110105000,6,50023,R,2014,110,,,,,,,,141053.32,D,S,2026-03-16 00:00:00,,,2,periodo 2/26,2026-03-16 00:00:00,N,CULTUR,,N,2026,,N
2026,2017,2026-03-16 00:00:00,GMADA,1110102000,2,50036,R,2017,132,,,,,,,,122860.0,D,S,2026-03-16 00:00:00,,,2,casa del estudiante,2026-03-16 00:00:00,N,CATAN,,N,2026,,N
2026,2018,2026-03-16 00:00:00,GMADA,1110105000,6,50023,R,2018,132,,,,,,,,24444.19,D,S,2026-03-16 00:00:00,,,2,periodo 02/26,2026-03-16 00:00:00,N,CULTUR,,N,2026,,N
2026,2019,2026-03-16 00:00:00,GMADA,1110200000,8,50023,R,2019,110,,,,,,,,23386.49,D,S,2026-03-16 00:00:00,,,1,periodo 02/26,2026-03-16 00:00:00,N,PRESID,2026-03-16 00:00:00,N,2026,,N
2026,2022,2026-03-16 00:00:00,GMADA,1110111000,3,50070,R,2022,131,,,,,,,,120487.04,D,S,2026-03-16 00:00:00,,,2,seg feb/26,2026-03-16 00:00:00,N,CAS,,N,2026,,N
2026,2023,2026-03-16 00:00:00,GMADA,1110102000,2,50070,R,2023,110,,,,,,,,16858033.1,D,S,2026-03-16 00:00:00,,,2,seg feb/26,2026-03-16 00:00:00,N,ADFIN,,N,2026,,N
2026,2025,2026-03-16 00:00:00,GMADA,1110104000,5,50023,R,2025,110,,,,,,,,618138.45,D,S,2026-03-16 00:00:00,,,2,periodo 02/26,2026-03-16 00:00:00,N,ADMI,,N,2026,,N
2026,2036,2026-03-16 00:00:00,GMADA,1110103000,3,50023,R,2036,110,,,,,,,,65802.64,D,S,2026-03-16 00:00:00,,,2,periodo 02/26,2026-03-16 00:00:00,N,COR,,N,2026,,N
2026,1764,2026-03-06 00:00:00,GMADA,1110102000,2,50219,R,1764,110,,,,,,,,159690.18,D,S,2026-03-06 00:00:00,,,1,gtos dic/25,2026-03-06 00:00:00,N,GOBHAC,2026-03-06 00:00:00,N,2026,,N
