EJERCICIO,NRO_COTI,COD_PROV,FECH_EMI_COTI,NRO_CERTIF,NRO_LLAMADO,ESTADO
2026,912,160,2026-03-09 00:00:00,,1,N
2026,913,2869,2026-03-09 00:00:00,,1,N
2026,914,612,2026-03-09 00:00:00,,1,N
2026,907,3165,2026-03-09 00:00:00,2269,1,N
2026,915,527,2026-03-09 00:00:00,,1,N
2026,916,441,2026-03-09 00:00:00,,1,N
2026,918,717,2026-03-09 00:00:00,,1,N
2026,919,1141,2026-03-09 00:00:00,,1,N
2026,924,826,2026-03-09 00:00:00,,1,N
2026,926,3322,2026-03-09 00:00:00,,1,N
2026,928,2209,2026-03-09 00:00:00,,1,N
2026,929,171,2026-03-09 00:00:00,,1,N
2026,930,777,2026-03-09 00:00:00,,1,N
2026,931,3287,2026-03-09 00:00:00,,1,N
2026,932,777,2026-03-09 00:00:00,,1,N
2026,933,216,2026-03-09 00:00:00,,1,N
2026,934,3322,2026-03-09 00:00:00,,1,N
2026,935,3322,2026-03-09 00:00:00,,1,N
2026,936,1066,2026-03-09 00:00:00,,1,N
2026,937,866,2026-03-09 00:00:00,,1,N
2026,938,169,2026-03-09 00:00:00,,1,N
2026,941,169,2026-03-09 00:00:00,,1,N
2026,943,2310,2026-03-09 00:00:00,,1,N
2026,954,1810,2026-03-10 00:00:00,,1,N
2026,955,688,2026-03-10 00:00:00,,1,N
2026,959,2450,2026-03-10 00:00:00,,1,N
2026,975,3364,2026-03-10 00:00:00,,1,N
2026,980,3184,2026-03-10 00:00:00,,1,N
2026,982,1578,2026-03-10 00:00:00,,1,N
2026,984,167,2026-03-10 00:00:00,,1,N
2026,985,300,2026-03-10 00:00:00,,1,N
2026,986,300,2026-03-10 00:00:00,,1,N
2026,987,3529,2026-03-10 00:00:00,,1,N
2026,988,2643,2026-03-10 00:00:00,,1,N
2026,989,300,2026-03-11 00:00:00,,1,N
2026,990,300,2026-03-11 00:00:00,,1,N
2026,991,3332,2026-03-11 00:00:00,,1,N
2026,992,300,2026-03-11 00:00:00,,1,N
2026,993,300,2026-03-11 00:00:00,,1,N
2026,994,300,2026-03-11 00:00:00,,1,N
2026,995,68,2026-03-11 00:00:00,,1,N
2026,996,300,2026-03-11 00:00:00,,1,N
2026,997,285,2026-03-11 00:00:00,,1,N
2026,998,2595,2026-03-11 00:00:00,,1,N
2026,999,2209,2026-03-11 00:00:00,,1,N
2026,1000,2310,2026-03-11 00:00:00,,1,N
2026,1003,2369,2026-03-11 00:00:00,,1,N
2026,1005,2595,2026-03-11 00:00:00,,1,N
2026,1006,2595,2026-03-11 00:00:00,,1,N
2026,1013,2259,2026-03-11 00:00:00,,1,N
2026,1023,2951,2026-03-12 00:00:00,2275,1,N
2026,1023,2491,2026-03-12 00:00:00,2273,1,N
2026,1023,2945,2026-03-12 00:00:00,2274,1,N
2026,1023,1001,2026-03-12 00:00:00,2272,1,N
2026,1023,693,2026-03-12 00:00:00,2271,1,N
2026,1024,300,2026-03-12 00:00:00,,1,N
2026,1025,2675,2026-03-12 00:00:00,,1,N
2026,1026,2675,2026-03-12 00:00:00,,1,N
2026,1027,169,2026-03-13 00:00:00,,1,N
2026,1028,3075,2026-03-13 00:00:00,,1,N
2026,1029,3516,2026-03-13 00:00:00,,1,N
2026,1031,3454,2026-03-13 00:00:00,,1,N
2026,1034,17,2026-03-13 00:00:00,,1,N
2026,1035,68,2026-03-13 00:00:00,,1,N
2026,1036,17,2026-03-13 00:00:00,,1,N
2026,1038,17,2026-03-13 00:00:00,,1,N
2026,1037,604,2026-03-13 00:00:00,,1,N
2026,1039,2988,2026-03-13 00:00:00,,1,N
2026,1040,17,2026-03-13 00:00:00,,1,N
2026,1041,441,2026-03-13 00:00:00,,1,N
2026,1042,1879,2026-03-13 00:00:00,,1,N
2026,1043,1879,2026-03-13 00:00:00,,1,N
2026,1044,1879,2026-03-13 00:00:00,,1,N
2026,1045,300,2026-03-13 00:00:00,,1,N
2026,1046,2261,2026-03-13 00:00:00,,1,N
2026,1047,1440,2026-03-16 00:00:00,,1,N
2026,1048,167,2026-03-16 00:00:00,,1,N
2026,1049,866,2026-03-16 00:00:00,,1,N
2026,1050,2595,2026-03-16 00:00:00,,1,N
2026,1051,3322,2026-03-16 00:00:00,,1,N
2026,1052,2450,2026-03-16 00:00:00,,1,N
2026,1053,167,2026-03-16 00:00:00,,1,N
2026,1054,57,2026-03-16 00:00:00,,1,N
2026,1055,2595,2026-03-16 00:00:00,,1,N
2026,586,400,2026-02-06 00:00:00,,1,N
2026,616,2810,2026-02-11 00:00:00,,1,N
2026,617,300,2026-02-11 00:00:00,,1,N
2026,618,1603,2026-02-11 00:00:00,,1,N
2026,619,3296,2026-02-11 00:00:00,,1,N
2026,620,2410,2026-02-11 00:00:00,,1,N
2026,621,2593,2026-02-11 00:00:00,,1,N
2026,632,3287,2026-02-13 00:00:00,,1,N
2026,636,300,2026-02-13 00:00:00,,1,N
2026,638,1879,2026-02-13 00:00:00,,1,N
2026,639,300,2026-02-13 00:00:00,,1,N
2026,653,879,2026-02-13 00:00:00,,1,N
2026,654,57,2026-02-13 00:00:00,,1,N
2026,656,413,2026-02-13 00:00:00,,1,N
2026,657,2410,2026-02-18 00:00:00,,1,N
2026,658,1259,2026-02-18 00:00:00,,1,N
2026,659,1259,2026-02-18 00:00:00,,1,N
2026,660,441,2026-02-18 00:00:00,,1,N
2026,662,413,2026-02-18 00:00:00,,1,N
2026,675,3011,2026-02-18 00:00:00,,1,N
2026,676,2069,2026-02-18 00:00:00,,1,N
2026,679,879,2026-02-18 00:00:00,,1,N
2026,683,413,2026-02-18 00:00:00,,1,N
2026,685,2593,2026-02-18 00:00:00,,1,N
2026,687,879,2026-02-18 00:00:00,,1,N
2026,690,2410,2026-02-20 00:00:00,,1,N
2026,693,300,2026-02-18 00:00:00,,1,N
2026,696,300,2026-02-18 00:00:00,,1,N
2026,697,300,2026-02-18 00:00:00,,1,N
2026,699,776,2026-02-18 00:00:00,,1,N
2026,701,776,2026-02-18 00:00:00,,1,N
2026,705,1527,2026-02-18 00:00:00,,1,N
2026,708,2770,2026-02-18 00:00:00,,1,N
2026,709,2410,2026-02-18 00:00:00,,1,N
2026,710,441,2026-02-18 00:00:00,,1,N
2026,712,2701,2026-02-18 00:00:00,,1,N
2026,743,441,2026-02-20 00:00:00,,1,N
2026,744,2209,2026-02-20 00:00:00,,1,N
2026,746,2593,2026-02-20 00:00:00,,1,N
2026,748,186,2026-02-20 00:00:00,,1,N
2026,749,3331,2026-02-20 00:00:00,,1,N
2026,750,572,2026-02-20 00:00:00,,1,N
2026,889,1119,2026-03-06 00:00:00,,1,N
2026,890,3430,2026-03-06 00:00:00,,1,N
2025,5424,68,2026-03-06 00:00:00,,1,N
2026,602,5,2026-02-11 00:00:00,,1,N
2026,603,2365,2026-02-11 00:00:00,,1,N
2026,611,2330,2026-02-11 00:00:00,,1,N
2026,612,2810,2026-02-11 00:00:00,,1,N
2026,613,441,2026-02-11 00:00:00,,1,N
2026,614,19,2026-02-11 00:00:00,,1,N
2026,615,1603,2026-02-11 00:00:00,,1,N
2026,727,2209,2026-02-19 00:00:00,,1,N
2026,729,1578,2026-02-19 00:00:00,,1,N
2026,731,2110,2026-02-19 00:00:00,,1,N
2026,734,212,2026-02-19 00:00:00,,1,N
2026,736,2790,2026-02-19 00:00:00,,1,N
2026,738,1810,2026-02-19 00:00:00,,1,N
2026,739,441,2026-02-19 00:00:00,,1,N
2026,848,492,2026-03-02 00:00:00,,1,N
2026,849,3514,2026-03-03 00:00:00,,1,N
2026,946,3322,2026-03-10 00:00:00,,1,N
2026,947,1603,2026-03-10 00:00:00,,1,N
2026,948,2330,2026-03-10 00:00:00,,1,N
2026,950,1206,2026-03-10 00:00:00,,1,N
2026,951,2770,2026-03-10 00:00:00,,1,N
2026,953,688,2026-03-10 00:00:00,,1,N
2026,956,216,2026-03-10 00:00:00,,1,N
2026,957,1259,2026-03-10 00:00:00,,1,N
2026,967,2001,2026-03-10 00:00:00,,1,N
2026,968,2310,2026-03-10 00:00:00,,1,N
2026,969,2216,2026-03-10 00:00:00,,1,A
2026,970,3322,2026-03-10 00:00:00,,1,N
2026,971,2209,2026-03-10 00:00:00,,1,N
2026,972,2209,2026-03-10 00:00:00,,1,N
2026,973,3322,2026-03-10 00:00:00,,1,N
2026,974,441,2026-03-10 00:00:00,,1,N
2026,976,3322,2026-03-10 00:00:00,,1,N
2026,977,441,2026-03-10 00:00:00,,1,N
2026,978,1259,2026-03-10 00:00:00,,1,N
2026,979,2330,2026-03-10 00:00:00,,1,N
2026,981,1810,2026-03-10 00:00:00,,1,N
2026,983,2627,2026-03-10 00:00:00,,1,N
2026,564,1514,2026-02-04 00:00:00,,1,N
2026,565,1514,2026-02-04 00:00:00,,1,N
2026,567,1876,2026-02-04 00:00:00,,1,N
2026,569,3184,2026-02-04 00:00:00,,1,N
2026,574,395,2026-02-04 00:00:00,,1,N
2026,575,3322,2026-02-04 00:00:00,,1,N
2026,576,167,2026-02-04 00:00:00,,1,N
2026,580,313,2026-02-05 00:00:00,,1,N
2026,594,2593,2026-02-09 00:00:00,,1,N
2026,596,2627,2026-02-09 00:00:00,,1,N
2026,600,3324,2026-02-10 00:00:00,,1,N
2026,623,3481,2026-02-12 00:00:00,,1,N
2026,624,2991,2026-02-12 00:00:00,,1,N
2026,626,1477,2026-02-12 00:00:00,,1,N
2026,627,3560,2026-02-12 00:00:00,,1,N
2026,643,879,2026-02-13 00:00:00,,1,N
2026,644,879,2026-02-13 00:00:00,,1,N
2026,645,167,2026-02-13 00:00:00,,1,N
2026,646,1977,2026-02-13 00:00:00,,1,N
2026,647,2371,2026-02-13 00:00:00,,1,N
2026,648,1879,2026-02-13 00:00:00,,1,N
2026,650,3297,2026-02-13 00:00:00,,1,N
2026,652,1995,2026-02-13 00:00:00,,1,N
2026,655,167,2026-02-13 00:00:00,,1,N
2026,661,441,2026-02-18 00:00:00,,1,N
2026,663,2410,2026-02-18 00:00:00,,1,N
